Customer,P.O. Nbr,SO Nbr,S.O. Date,Invoices,Order Status,Order Line/Status
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
68250 - LOLLILOCKS KIDS SALON,,61982,3/31/2007,61982,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
11100 - BEST WESTERN REGAL INN,,62139,4/2/2007,,Closed,1 - Closed
,,,,,,2 - Closed
87900 - PLATO'S CLOSET,,62142,4/2/2007,,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62143,4/3/2007,,Closed,1 - Closed
30750 - COPELAND INSURANCE AGENCY,,62144,4/3/2007,62144,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
18600 - CAT SCALE,,62145,4/3/2007,62145,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
2178 - DURASOL AWNING INC.,11397,62146,4/4/2007,62146,Closed,1 - Closed
100870 - SKYLINE DISPLAYS,,62151,4/6/2007,62151,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
69050 - LOZIER HEATING & COOLING,,62155,4/9/2007,62155,Closed,1 - Deleted
,,,,,,2 - Closed
,,,,,,3 - Closed
"2179 - CRAVE BAR, GRILL & FONDUE",,62156,4/9/2007,62156,Closed,1 - Closed
"2163 - WOODCRAFT ARCHITECTURAL MILLWORK, LLC",,62158,4/10/2007,62158,Closed,1 - Closed
2126 - DAIRY QUEEN,,62160,4/10/2007,,Closed,1 - Closed
73650 - MERCURY INSURANCE,,62166,4/12/2007,62166,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62169,4/13/2007,,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",,62174,4/17/2007,62174,Closed,1 - Closed
,,,,,,2 - Closed
38050 - EAGLE SIGN CO.,,62175,4/18/2007,,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62176,4/18/2007,,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62177,4/18/2007,,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
2120 - HENTSCHEL ART GALLERY,,62178,4/19/2007,62178,Closed,1 - Closed
,,,,,,2 - Closed
69850 - MAID-RITE COMPANY,,62179,4/19/2007,62179,Closed,1 - Closed
2128 - DAIRY QUEEN,,62180,4/20/2007,62180,Closed,1 - Closed
18600 - CAT SCALE,,62181,4/20/2007,,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
69850 - MAID-RITE COMPANY,E-0011117,1020,4/21/2007,1020,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
"77950 - NAGLE SIGNS, INC.",1104,62183,4/23/2007,62183,Closed,1 - Closed
106025 - SUPER WASH,,62184,4/23/2007,62184,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
"77950 - NAGLE SIGNS, INC.","1140, 1133, 1117",1059,4/24/2007,,Closed,1 - Closed
36800 - DON HARSTAD COMPANY,,62185,4/24/2007,62185,Closed,1 - Closed
,,,,,,2 - Closed
38050 - EAGLE SIGN CO.,,62187,4/24/2007,,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62188,4/24/2007,,Closed,1 - Closed
18600 - CAT SCALE,,62189,4/24/2007,,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
18600 - CAT SCALE,,62190,4/24/2007,,Closed,1 - Closed
,,,,,,2 - Deleted
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
18600 - CAT SCALE,,62191,4/24/2007,,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
18600 - CAT SCALE,,62192,4/24/2007,,Closed,1 - Closed
