"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"214-4560","3/8 X 1-1/2 SELF TAPPER","HRDWRE","","P","A","","0","EA","0.23000","0.13250"
"214-4570","1/2 X 2.5 SELF TAPPING SCREWS","HRDWRE","","P","A","","0","EA","0.36000","0.18000"
"214-4580","5/16 X 1-1/2 SELF TAPPER","HRDWRE","","P","A","","-50","EA","0.18000","0.10000"
"214-4590","5/16 X 1 SELF TAPPER","HRDWRE","","P","A","","-10","EA","0.14000","0.08000"
"214-4595","6"" Firestone HD Screw","HRDWRE","","P","A","","0","EA","0.52605","0.30060"
"214-4600","#4 X 1/2 SHEET METAL SCR","HRDWRE","","P","A","","0","EA","0.03000","0.02770"
"214-4610","6-32 X 3/8 SHEET METAL SCREWS","HRDWRE","","P","A","","0","EA","0.08000","0.04450"
"214-4620","#6 X 1/2 HWHSMS - SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.08000","0.04290"
"214-4630","#6 X 3/4 TORQUE HEAD SMS","HRDWRE","","P","A","","0","EA","0.10500","0.06000"
"214-4640","#6 X 1 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.03500","0.02000"
"214-4645","#8 x 3/8"" HWHSMS","HRDWRE","","P","A","","0","EA","0.02678","0.01530"
"214-4650","#8 X 1/2 SHEET METAL SCR","HRDWRE","","P","A","","0","EA","0.04375","0.02500"
"214-4652","#8 x 1/2"" PHSMS Black","HRDWRE","","P","A","","1,287","EA","0.00000","0.03660"
"214-4653","#8 x 3/8"" PHSMS","HRDWRE","","P","A","","0","EA","0.06125","0.03500"
"214-4654","#8 x 3/4"" PHSMS","HRDWRE","","P","A","","0","EA","0.02800","0.01600"
"214-4655","#8 X 1/2"" PHILLIPS WAFER LATH SHARP POINT SCREW","HRDWRE","","P","A","","-340","EA","0.02853","0.01630"
"214-4656","#8 X 1/2"" Lath trim cap) screw","HRDWRE","","P","A","20","4,088","EA","0.20825","0.11900"
"214-4660","#8 X 3/4 SHEET METAL SCR","HRDWRE","","P","A","","0","EA","0.03000","0.01270"
"214-4670","#8 X 1 SHEET METAL SCREW","HRDWRE","","P","A","","20","EA","0.07000","0.11490"
"214-4680","#8 X 1-1/4 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.12000","0.05980"
"214-4690","#8 X 1-1/2 SHEET METAL SC","HRDWRE","","P","A","","0","EA","0.06000","0.03250"
"214-4700","#8 X 2 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.09000","0.05890"
"214-4710","#10 X 1/2 SHEET METAL SC","HRDWRE","","P","A","","4,416","EA","0.07000","0.02295"
"214-4712","#10 x 1/2"" HWHSMS - Black","HRDWRE","","P","A","","6,212","EA","0.17094","0.09768"
"214-4720","#10 X 3/4 SHEET METAL SCR","HRDWRE","","P","A","","0","EA","0.05250","0.03000"
"214-4730","#10 X 1 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.12000","0.02530"
"214-4740","#10 X 1.25 S M SCREW","HRDWRE","","P","A","","0","EA","0.11000","0.05780"
"214-4750","#10 X 1-1/2 SHEET MTL SCR","HRDWRE","","P","A","","0","EA","0.03343","0.01910"
"214-4760","#10 X 2 HWHSMS","HRDWRE","","P","A","","0","EA","0.28000","0.14780"
"214-4770","10 X 2-1/2 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.22000","0.10710"
"214-4780","#10 X 3 SHEET METAL SCRW","HRDWRE","","P","A","","0","EA","0.26000","0.14760"
"214-4785","#12 x 1/2"" HWHSMS","HRDWRE","","P","A","","0","EA","0.02625","0.01500"
"214-4786","#12 x 1/2"" HWHSMS - BLACK","HRDWRE","","P","A","","0","EA","0.13073","0.07470"
"214-4790","#12 X 1 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.06000","0.03410"
"214-4800","#12 X 1.5 SHEET METAL SCR","HRDWRE","","P","A","","0","EA","0.03000","0.01560"
"214-4810","#12 X 2 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.17500","0.10000"
"214-4820","#12 X 3 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.17500","0.10000"
"214-4830","#14 X 3/4 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.14000","0.07960"
"214-4840","#14 X 1 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.10000","0.05890"
"214-4850","#14 X 1-1/2 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.10500","0.06000"
"214-4860","#14 X 2 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.39000","0.07330"
"214-4870","#14 X 2-1/2 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.37000","0.21000"
"214-4880","#14 X 3 SHEET METAL SCREW","HRDWRE","","P","A","","0","EA","0.12000","0.06470"
"214-4885","#14 X 4"" HWHSMS","HRDWRE","","P","A","","0","EA","0.49578","0.28330"
"214-4890","#06 X 1 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.18000","0.10270"
"214-4900","#08 X 1/2 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.04000","0.02100"
"214-4910","#08 X 3/4 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.08000","0.02910"
"214-4920","#08 X 1-1/2 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.08000","0.04020"
"214-4930","#08 X 2-1/2 WOOD SCREW","HRDWRE","","P","A","","93","EA","0.12000","0.06010"
"214-4940","#12 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.11000","0.06370"
"214-4950","#14 X 1-1/2 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.14000","0.07000"
"214-4960","2 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.05000","0.01890"
"214-4970","3 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.08000","0.03840"
"214-4980","4 WOOD SCREW","HRDWRE","","P","A","","0","EA","0.08000","0.03000"
"214-4985","1"" Alum Spacer","HRDWRE","","P","A","","0","EA","0.00000","0.25000"
"214-4990","1/4 X 1-1/4 AIR STAPLES","HRDWRE","","P","A","","0","LB","10.95000","7.27250"
"214-4995","3/16” aluminum weld studs","HRDWRE","","P","A","","81","EA","1.28492","0.73424"
"214-5000","2"" STUDS X 3/16 ALUMINUM","HRDWRE","","P","A","","1,500","EA","0.83720","0.47840"
"214-5010","2.5"" STUDS X 3/16 ALUMINUM","HRDWRE","","P","A","","0","EA","0.13000","0.07670"
"214-5020","3"" STUDS X 3/16 ALUMINUM","HRDWRE","","P","A","","-30","EA","0.65940","0.37680"
"214-5030","2"" STUDS X 1/4 ALUMINUM","HRDWRE","","P","A","","-100","EA","0.13000","0.07670"
"214-5040","10-24 X 1-1/2 SS THRD STUDS","HRDWRE","","P","A","","0","EA","0.52000","0.29640"
"214-5050","10-24 X 3 SS THREADED STUDS","HRDWRE","","P","A","","0","EA","0.93000","0.53000"
"214-5060","10-32 X 1-1/4 ALUM STUDS","HRDWRE","","P","A","","0","EA","0.14000","0.07750"
"214-5065","1/2"" x 3 1/2"" Stud","HRDWRE","","P","A","","0","EA","0.43750","0.25000"
"214-5068","7/8"" x 3 1/2"" Stud","HRDWRE","","P","A","","0","EA","0.00000","0.88460"
"214-5070","4"" STUDS 10-24 ALUMINUM","HRDWRE","","P","A","","0","EA","0.26250","0.15000"
"214-5080","6"" STUDS 10-24 ALUMINUM","HRDWRE","","P","A","","0","EA","0.64000","0.58870"
"214-5090","1/4-20 X 2 BRASS STUDS","HRDWRE","","P","A","","0","EA","0.08000","0.04680"
"214-5100","2 STUDS 10-24 3/16 BRAS","HRDWRE","","P","A","","0","EA","0.12000","0.06670"
"214-5110","6-32 X 1-1/2 SS THREADED STUDS","HRDWRE","","P","A","","0","EA","0.32000","0.18140"
"214-5120","1/8 6-32 STANLESS STEEL STUDS","HRDWRE","","P","A","","0","EA","0.33000","0.18780"
"214-5130","6-32 C 3 SS THREADED STUDS","HRDWRE","","P","A","","0","EA","0.58000","0.33400"
"214-5140","Plex Block 3/16"" x 1/2""","HRDWRE","","P","A","","0","EA","0.00000","0.09000"
"214-5145","3/8"" Clear Tubing","HRDWRE","","P","A","","0","FT","0.00000","0.49000"
"214-5150","3/16 THREADED ROD STEEL","HRDWRE","","P","A","","0","FT","0.22000","0.12330"
"214-5151","3/16 THREADED ROD STEEL","HRDWRE","","P","A","","0","FT","0.22000","0.12330"
"214-5152","3/16 THREADED ROD STEEL","HRDWRE","","P","A","","0","FT","1.57500","0.90000"
"214-5153","3/16 THREADED ROD Aluminum","HRDWRE","","P","A","","0","LF","0.35875","0.20500"
"214-5160","1/4 THREADED ROD","HRDWRE","","P","A","","0","FT","0.26000","0.14290"
"214-5161","1/4 THREADED ROD","HRDWRE","","P","A","","0","FT","1.31250","0.75000"
"214-5162","1/4 THREADED ROD","HRDWRE","","P","A","","0","FT","1.31250","0.18500"
"214-5170","1/4 STAINLESS STEEL THRD ROD","HRDWRE","","P","A","","0","FT","1.15000","0.80170"
"214-5171","1/4 STAINLESS STEEL THRD ROD","HRDWRE","","P","A","","0","FT","1.15000","0.80170"
"214-5172","1/4 STAINLESS STEEL THRD ROD","HRDWRE","","P","A","","0","FT","1.15000","0.80170"
"214-5180","5/16 THREADED ROD","HRDWRE","","P","A","","0","FT","0.63000","0.36170"
"214-5181","5/16 THREADED ROD","HRDWRE","","P","A","","0","FT","0.63000","0.36170"
"214-5182","5/16 THREADED ROD","HRDWRE","","P","A","","0","FT","0.63000","0.36170"
"214-5190","3/8 THREADED ROD","HRDWRE","","P","A","","0","FT","2.48000","2.05000"
"214-5191","3/8 THREADED ROD","HRDWRE","","P","A","","0","FT","2.48000","2.05000"
"214-5192","3/8 THREADED ROD","HRDWRE","","P","A","","0","FT","2.48000","2.05000"
"214-5193","3/8 THREADED ROD","HRDWRE","","P","A","","0","FT","2.48000","1.23000"
"214-5200","3/8 STAINLESS THREADED ROD","HRDWRE","","P","A","","0","FT","4.88000","2.98500"
"214-5201","3/8 STAINLESS THREADED ROD","HRDWRE","","P","A","","0","FT","4.88000","2.98500"
"214-5202","3/8 STAINLESS THREADED ROD","HRDWRE","","P","A","","0","FT","4.88000","2.98500"
"214-5203","3/8 STAINLESS THREADED ROD","HRDWRE","","P","A","","0","FT","4.88000","2.98500"
"214-5204","3/8 STAINLESS Steel ROD","HRDWRE","","P","A","","0","FT","5.74580","3.28334"
"214-5210","1/2 THREADED ROD","HRDWRE","","P","A","","0","FT","1.10000","1.06710"
"214-5211","1/2 THREADED ROD","HRDWRE","","P","A","","0","FT","1.10000","1.06710"
"214-5212","1/2 THREADED ROD","HRDWRE","","P","A","","0","FT","1.86743","1.06710"
"214-5213","1/2 THREADED ROD","HRDWRE","","P","A","","0","FT","1.10000","1.06710"
"214-5214","1/2 THREADED ROD","HRDWRE","","P","A","","0","FT","1.10000","1.06710"
"214-5220","1/2 STAINLESS STEEL THRD ROD","HRDWRE","","P","A","","0","FT","4.11000","4.79830"
"214-5221","1/2 STAINLESS STEEL THRD ROD","HRDWRE","","P","A","","0","FT","4.11000","4.79830"
"214-5222","1/2 STAINLESS STEEL THRD ROD","HRDWRE","","P","A","","0","FT","4.11000","4.79830"
"214-5223","1/2 STAINLESS STEEL THRD ROD","HRDWRE","","P","A","","0","FT","4.11000","4.79830"
"214-5224","1/2 STAINLESS STEEL THRD ROD","HRDWRE","","P","A","","0","FT","4.11000","4.79830"
"214-5230","5/8 THREADED ROD","HRDWRE","","P","A","","0","FT","1.25000","0.71710"
"214-5231","5/8 THREADED ROD","HRDWRE","","P","A","","0","FT","1.25000","0.71710"
"214-5232","5/8 THREADED ROD","HRDWRE","","P","A","","0","FT","1.25000","0.71710"
"214-5233","5/8 THREADED ROD","HRDWRE","","P","A","","0","FT","1.25000","0.71710"
"214-5234","5/8 THREADED ROD","HRDWRE","","P","A","","0","FT","1.25000","0.71710"
"214-5240","3/4 THREADED ROD","HRDWRE","","P","A","","0","FT","3.00000","1.65540"
"214-5241","3/4 THREADED ROD","HRDWRE","","P","A","","0","FT","3.00000","1.65540"
"214-5242","3/4 THREADED ROD","HRDWRE","","P","A","","0","FT","3.00000","1.65540"
"214-5243","3/4 THREADED ROD","HRDWRE","","P","A","","0","FT","3.00000","1.65540"
"214-5244","3/4 THREADED ROD","HRDWRE","","P","A","","0","FT","3.00000","1.65540"
"214-5250","7/8 THREADED ROD","HRDWRE","","P","A","","0","FT","4.19000","1.19670"
"214-5251","7/8 THREADED ROD","HRDWRE","","P","A","","0","FT","4.19000","1.19670"
"214-5252","7/8 THREADED ROD","HRDWRE","","P","A","","0","FT","4.19000","1.19670"
"214-5253","7/8 THREADED ROD","HRDWRE","","P","A","","0","FT","4.19000","1.19670"
"214-5254","7/8 THREADED ROD","HRDWRE","","P","A","","0","FT","4.19000","1.19670"
"214-5260","6-32 THREADED ROD","HRDWRE","","P","A","","0","FT","0.15000","0.09000"
"214-5261","6-32 THREADED ROD","HRDWRE","","P","A","","0","FT","0.15000","0.09000"
"214-5262","6-32 THREADED ROD","HRDWRE","","P","A","","0","FT","0.15000","0.09000"
"214-5263","6-32 THREADED ROD","HRDWRE","","P","A","","0","FT","0.15000","0.09000"
"214-5270","1 THREADED ROD","HRDWRE","","P","A","","0","FT","5.00000","2.39170"
"214-5271","1 THREADED ROD","HRDWRE","","P","A","","0","FT","5.00000","2.39170"
"214-5272","1 THREADED ROD","HRDWRE","","P","A","","0","FT","5.00000","2.39170"
"214-5273","1 THREADED ROD","HRDWRE","","P","A","","0","FT","5.00000","2.39170"
"214-5274","1 THREADED ROD","HRDWRE","","P","A","","0","FT","5.00000","2.39170"
"214-5280","10-24 SS THREADED ROD","HRDWRE","","P","A","","0","FT","2.02000","1.15200"
"214-5281","10-24 SS THREADED ROD","HRDWRE","","P","A","","0","FT","2.02000","1.15200"
"214-5282","10-24 SS THREADED ROD","HRDWRE","","P","A","","0","FT","2.02000","1.15200"
"214-5283","10-24 SS THREADED ROD","HRDWRE","","P","A","","0","FT","2.02000","1.15200"
"214-5290","3/16 TURNBUCKLES","HRDWRE","","P","A","","0","EA","2.00000","0.67800"
"214-5300","1/4 X 4 TURNBUCKLE","HRDWRE","","P","A","","0","EA","3.92000","2.19750"
"214-5310","5/16 X 4 TURNBUCKLE","HRDWRE","","P","A","","0","EA","12.79000","7.31000"
"214-5320","5/16 X 4-1/2 TURNBUCKLE","HRDWRE","","P","A","","0","EA","7.08000","4.04460"
"214-5325","5/16"" x 6"" eye/eye turnbuckle","HRDWRE","","P","A","","0","EA","0.00000","4.00000"
"214-5330","3/8 X 6 TURNBUCKLES","HRDWRE","","P","A","","0","EA","7.14000","4.08000"
"214-5340","2 TURNBUCKLES","HRDWRE","","P","A","","0","EA","1.33000","0.75800"
"214-5350","AWNING WALL CLIPS/NAGLE","HRDWRE","","P","A","","154","EA","0.74000","0.42000"
"214-5360","#90301 WALL ANGLE BRKT","HRDWRE","","P","A","","0","EA","4.35750","2.49000"
"214-5370","90 - 6 WALL ANGLE #303","HRDWRE","","P","A","","0","EA","2.87000","1.64000"
"214-5380","45 WALL ANGLE #304","HRDWRE","","P","A","","237","EA","3.36000","1.92000"
"214-5390","90305 WALL ANGLE 45 X 5","HRDWRE","","P","A","","0","EA","2.37000","1.35200"
"214-5400","90306 WALL ANGLE 90 X 5","HRDWRE","","P","A","","0","EA","1.97000","1.15000"
"214-5410","90 WALL ANGLE #90311","HRDWRE","","P","A","","0","EA","1.68000","0.96000"
"214-5420","1/8 FLAT WASHERS","HRDWRE","","P","A","","0","EA","0.04000","0.01580"
"214-5430","3/16 FLAT WASHERS","HRDWRE","","P","A","","2,791","EA","0.05000","0.00962"
"214-5440","1/4 FLAT WASHERS","HRDWRE","","P","A","","2,007","EA","0.01400","0.00800"
"214-5450","5/16 FLAT WASHERS","HRDWRE","","P","A","","365","EA","0.07000","0.03650"
"214-5460","3/8 FLAT WASHERS","HRDWRE","","P","A","","1,777","EA","0.05338","0.03050"
"214-5470","1/2 FLAT WASHERS","HRDWRE","","P","A","","1,158","EA","0.10500","0.06000"
"214-5480","A325 1/2 FLAT WASHERS","HRDWRE","","P","A","","0","EA","0.18000","0.10000"
"214-5490","1/2 STAINLESS STEEL WASHER","HRDWRE","","P","A","","0","EA","0.15000","0.11950"
"214-5500","5/8 FLAT WASHERS","HRDWRE","","P","A","","18","EA","0.18928","0.10816"
"214-5510","5/8 FLAT WASHERS/A325","HRDWRE","","P","A","","375","EA","0.17542","0.10024"
"214-5520","3/4"" flat washers","HRDWRE","","P","A","","542","EA","0.00000","0.11032"
"214-5530","7/8 FLAT WASHERS","HRDWRE","","P","A","","442","EA","0.50000","0.28290"
"214-5540","#6 FLAT WASHERS","HRDWRE","","P","A","","0","EA","0.02000","0.01330"
"214-5550","1"" flat washers","HRDWRE","","P","A","","26","EA","0.86480","0.49417"
"214-5560","1-1/8 FLAT WASHERS","HRDWRE","","P","A","","232","EA","0.96670","0.55240"
"214-5570","1 1/4"" Washer","HRDWRE","","P","A","","0","EA","0.89810","0.51320"
"214-5572","1 3/8"" Washer","HRDWRE","","P","A","","0","EA","0.37275","0.21300"
"214-5575","1 1/2"" Washer","HRDWRE","","P","A","","0","EA","0.71750","0.41000"
"214-5580","1-3/4 FLAT WASHERS 2H","HRDWRE","","P","A","","0","EA","3.54000","2.02000"
"214-5585","2 1/4"" Washer","HRDWRE","","P","A","","0","EA","0.00000","0.85000"
"214-5590","3/16 FENDER WASHERS","HRDWRE","","P","A","","76","EA","0.10000","0.04660"
"214-5600","1/4 FENDER WASHERS","HRDWRE","","P","A","","293","EA","0.21735","0.12420"
"214-5610","1/2 HARDENED WASHER","HRDWRE","","P","A","","0","EA","0.04000","0.02300"
"214-5620","5/8 HARDENED WASHER","HRDWRE","","P","A","","0","EA","0.07000","0.04000"
"214-5630","1/4 LOCK WASHERS","HRDWRE","","P","A","","156","EA","0.06000","0.00900"
"214-5635","5/16 LOCK WASHERS","HRDWRE","","P","A","","153","EA","0.02842","0.01624"
"214-5640","3/8 LOCK WASHERS","HRDWRE","","P","A","","249","EA","0.03290","0.01880"
"214-5650","1/2 LOCK WASHERS","HRDWRE","","P","A","","1,977","EA","0.12000","0.06000"
"214-5660","5/8 LOCK WASHERS","HRDWRE","","P","A","","140","EA","0.56000","0.32000"
"214-5670","3/4 LOCK WASHERS","HRDWRE","","P","A","","0","EA","0.38000","0.28250"
"214-5673","7/8"" Flat Washer - SAE","HRDWRE","","P","A","","8","EA","0.24500","0.14000"
"214-5680","1 LOCK WASHER","HRDWRE","","P","A","","0","EA","0.43750","0.25000"
"214-5685","1 1/8"" Lock Washer","HRDWRE","","P","A","","0","EA","0.28210","0.16120"
"214-5690","1-1/4 LOCK WASHERS","HRDWRE","","P","A","","0","EA","0.56000","0.31600"
"214-5695","1 1/2"" Lock Washer","HRDWRE","","P","A","","0","EA","0.84438","0.48250"
"214-5697","1 3/4"" Lock Washer","HRDWRE","","P","A","","0","EA","3.29000","1.88000"
"214-5710","2-1/4 x 90 ANCHOR BOLTS","HRDWRE","","P","A","","0","EA","114.91000","65.66000"
"214-5720","1 1/16"" STEEL HINGE","HRDWRE","","P","A","","0","FT","1.70000","0.97000"
"214-5730","Gripper Sleeve - TJ","HRDWRE","","P","A","","0","EA","0.17500","0.10000"
"214-5740","Silver  SO-CAP 4 Cap","HRDWRE","","P","A","","0","EA","0.00000","3.83680"
"214-5750","T-BAR HANGERS","HRDWRE","","P","A","","0","EA","4.38000","2.50000"
"214-5760","TJ Hangar Bolt","HRDWRE","","P","A","","0","EA","0.00000","0.52000"
"214-5761","Pizzazz large aluminum stand-off","HRDWRE","","P","A","","0","EA","16.38438","7.30750"
"214-5762","Pizzazz small stand-offs","HRDWRE","","P","A","","0","EA","36.82000","21.04000"
"215-0100","20 MIL LEXAN","FLEXAN","","P","A","","0","SF","4.04000","2.30690"
"215-0110","1/16 LEXAN, CLEAR","FLEXAN","","P","A","","0","SF","3.12000","2.28470"
"215-0120",".080 CLEAR LEXAN","FLEXAN","","P","A","","0","SF","3.45000","1.96880"
"215-0130",".093 CLEAR LEXAN","FLEXAN","","P","A","","0","SF","3.72000","2.12500"
"215-0140",".118 CLEAR LEXAN","FLEXAN","","P","A","","0","SF","5.67000","2.65000"
"215-0145",".118 SGC100 112C Clear Lexan","FLEXAN","","P","A","","0","SF","3.48250","1.99000"
"215-0150",".118 MATTE CLEAR LEXAN","FLEXAN","","P","A","","0","SF","7.05250","4.03000"
"215-0155",".118 RED #2793 X 52"" LEXAN","FLEXAN","","P","A","","0","SF","5.33680","3.04960"
"215-0160",".118 S/G WHITE LEXAN","FLEXAN","","P","A","","0","SF","6.09000","1.96000"
"215-0170",".125 CLEAR LEXAN","FLEXAN","","P","A","","0","SF","4.81000","2.75000"
"215-0180",".125 WHITE LEXAN","FLEXAN","","P","A","","0","SF","4.72000","2.25000"
"215-0189",".150 CLEAR LEXAN","FLEXAN","","P","A","","-172","SF","7.31500","4.18000"
"215-0190",".150 CLEAR LEXAN","FLEXAN","","P","A","","0","SF","6.88000","3.35000"
"215-0191",".150 Clear Polycarbonate","FLEXAN","","P","A","","0","SF","6.94750","3.97000"
"215-0193",".150"" S/G CLEAR LEXAN","FLEXAN","","P","A","","0","SF","6.02000","3.35000"
"215-0195",".150 SGC100 112C Clear Lexan","FLEXAN","","P","A","","0","SF","4.17253","2.38430"
"215-0197",".150 Clear Polycarbonate","FLEXAN","","P","A","","0","SF","4.44500","2.54000"
"215-0199",".150 White Polycarbonate","FLEXAN","","P","A","","351","SF","5.28707","3.02118"
"215-0200",".150 S/G WHITE LEXAN","FLEXAN","","P","A","","0","SF","7.24500","4.14000"
"215-02001",".150  WHITE LEXAN","FLEXAN","","P","A","","0","SF","7.36750","4.21000"
"215-02005",".150 WHITE LEXAN 76""","FLEXAN","","P","A","","0","SF","7.24500","3.73000"
"215-0205",".150 S/G WHITE LEXAN","FLEXAN","","P","A","","0","SF","8.31250","4.75000"
"215-0210",".177 CLEAR LEXAN","FLEXAN","","P","A","","0","SF","8.45250","3.95000"
"215-0220",".177"" S/G WHITE LEXAN","FLEXAN","","P","A","","0","SF","7.78000","4.13770"
"215-0221",".177"" S/G 410 WHITE LEXAN","FLEXAN","","P","A","","0","SF","5.22883","2.98790"
"215-0230","SIGN BOND CEMENT/LEXAN GLUE","FLEXAN","","P","A","","0","OZ","0.86695","0.49540"
"215-0535",".177 WHITE FF #2447 PLEXIGLAS","FPLEX","","P","A","","86","SF","7.57750","2.80000"
"216-0100","1 X 10 LUMBER","FLUMBR","","P","A","20","-93","LF","3.18950","1.82257"
"216-0110","1 X 12 LUMBER","FLUMBR","","P","O","20","0","LF","2.37000","1.35710"
"216-0120","1 X 3 LUMBER","FLUMBR","","P","O","20","0","LF","0.39000","0.21200"
"216-0130","1 X 3 WOLMANIZED LUMBER","FLUMBR","","P","O","20","0","LF","0.30000","0.17100"
"216-0140","1 X 4 LUMBER","FLUMBR","","P","O","20","-132","LF","0.40775","0.23300"
"216-0150","1 X 4 WOLMANIZED LUMBER","FLUMBR","","P","O","20","0","LF","0.37000","0.20880"
"216-0151","1"" X 4"" X 12' SPF WOOD FRAMING","FLUMBR","","P","A","","1,836","FT","1.50792","0.75000"
"216-0160","1 X 6 LUMBER","FLUMBR","","P","O","20","0","LF","0.61000","0.72980"
"216-0170","1 X 6 CEDAR LUMBER","FLUMBR","","P","O","20","0","LF","0.96250","0.55000"
"216-0180","1 X 6 WOLMANIZED LUMBER","FLUMBR","","P","O","20","0","LF","0.93000","0.52880"
"216-0190","1 X 8 LUMBER","FLUMBR","","P","O","20","0","LF","0.82000","0.85280"
"216-0200","2 X 10 LUMBER","FLUMBR","","P","O","20","0","LF","2.12000","1.20970"
"216-0210","2 X 12 LUMBER","FLUMBR","","P","O","20","0","LF","2.63000","1.50500"
"216-0220","2 X 12 WOLMANIZED LUMBER","FLUMBR","","P","O","20","0","LF","3.48000","1.98860"
"216-0230","2 X 2 WOLMANIZED LUMBER","FLUMBR","","P","O","20","0","LF","0.63000","0.36250"
"216-0240","2 X 4 LUMBER","FLUMBR","","P","O","20","-152","LF","0.86000","0.50180"
"216-0250","2 X 4 WOLMANIZED LUMBER","FLUMBR","","P","O","20","-144","LF","1.03000","0.72760"
"216-0251","2"" X 4"" X 20' SPF WOOD FRAMING","FLUMBR","","P","A","","5,044","FT","1.25388","0.71650"
"216-0252","2"" X 4"" X 12' SPF WOOD FRAMING","FLUMBR","","P","A","","2,296","LF","0.95667","0.54667"
"216-0253","2"" X 4"" X 8' SPF WOOD FRAMING","FLUMBR","","P","A","","0","LF","0.76420","0.43667"
"216-0260","2 X 6 LUMBER","FLUMBR","","P","O","20","0","LF","1.05000","0.57380"
"216-0270","2 X 6 WOLMANIZED LUMBER","FLUMBR","","P","O","20","0","LF","1.14000","0.65000"
"216-0280","2 X 8 PINE LUMBER","FLUMBR","","P","A","","0","LF","1.97000","1.12630"
"216-0290","2 X 8 WOLMANIZED LUMBER","FLUMBR","","P","A","","0","LF","1.35000","0.77310"
"216-0300","4X4 WOLMANIZED POSTS","FLUMBR","","P","A","","48","LF","1.85000","1.84930"
"216-0310","4X6 WOLMANIZED LUMBER","FLUMBR","","P","A","","0","LF","2.71000","1.54630"
"216-0320","6 X 6 WOLMANIZED LUMBER","FLUMBR","","P","A","","0","LF","7.41000","4.23500"
"216-0330","1 X 3 R.S. CEDAR","FLUMBR","","P","A","","0","LF","0.44000","0.24000"
"216-0340","1 X 6 R.S. CEDAR","FLUMBR","","P","A","","0","LF","0.88000","0.49500"
"216-0350","1 X 8 R.S. CEDAR","FLUMBR","","P","A","","0","LF","1.10000","0.63000"
"216-0360","1/8 MASONITE","FLUMBR","","P","A","","0","SF","0.54000","0.30560"
"216-0370","3/16 MASONITE","FLUMBR","","P","A","","0","SF","0.76000","0.43000"
"216-0380","1/4 MASONITE","FLUMBR","","P","A","","0","SF","0.76000","0.43000"
"216-0390","1/4 PLYWOOD","FLUMBR","","P","A","","0","SF","0.53000","0.26720"
"216-0400","3/4 AC PLYWOOD SHEETING","FLUMBR","","P","A","","0","SF","1.59000","0.90910"
"216-0410","1/4 PARTICLE BOARD","FLUMBR","","P","A","","0","SF","0.25000","0.30060"
"216-0420","3/8 PARTICLE BOARD","FLUMBR","","P","A","","0","SF","0.30000","0.15130"
"216-0421","7/16"" OSB 4'x 8'sheet","FLUMBR","","P","A","","7,040","SF","1.35625","0.42500"
"216-0422","1/4"" OSB 4' X 8' SHEET","FLUMBR","","P","A","","0","SF","0.52605","0.30060"
"216-0430","1/2 PARTICLE BOARD","FLUMBR","","P","A","","0","SF","0.65000","0.37090"
"216-0440","3/8 CDX PLYWOOD","FLUMBR","","P","A","","0","SF","0.74000","0.42200"
"216-0450","1/2 CDX PLYWOOD","FLUMBR","","P","A","","0","SF","0.69000","0.39280"
"216-0460","3/4 CDX PLYWOOD","FLUMBR","","P","A","","0","SF","0.99000","0.73500"
"216-0470","1/2 D/F MDO PLYWOOD","FLUMBR","","P","A","","0","SF","2.29000","1.31090"
"216-0480","3/4 D/F MDO PLYWOOD","FLUMBR","","P","A","","0","SF","5.82915","3.33094"
"216-0490","3/8 S/F MDO PLYWOOD","FLUMBR","","P","A","","0","SF","1.74000","0.99220"
"216-0500","1/2 S/F MDO PLYWOOD","FLUMBR","","P","A","","0","SF","1.71000","0.69380"
"216-0510","1/2 1-SIDE WHITE MDO PANEL","FLUMBR","","P","A","","0","SF","7.88156","4.50375"
"216-0520","1/2 2-SIDE WHITE MDO PANEL","FLUMBR","","P","A","","0","SF","5.12000","2.92570"
"216-0530","3/4 S/F MDO PLYWOOD","FLUMBR","","P","A","","0","SF","4.18000","2.38810"
