"06 NOV 2025","16:26:52","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/17 through 10/31/18",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"8474","06/13/18","INSTL","4258","JONES SIGN CO","1211.33","1042.24","169.09","13.96","396.50","JEFF","","","","","","7","DOLLAR TREE - JONES SIGN","DES MOINES","IA",
"8519","07/09/18","INSTL","4258","JONES SIGN CO","1211.33","873.23","338.10","27.91","","JEFF","","","","","","10","DOLLAR TREE - JONES SIGN","KNOXVILLE","IA",
"8519","07/09/18","INSTL","4258","JONES SIGN CO","2155.58","1291.85","863.73","40.07","","JEFF","","","","","","10","DOLLAR TREE - JONES SIGN","KNOXVILLE","IA",
"8540","05/24/18","INSTL","4258","JONES SIGN CO","1356.61","803.27","553.34","40.79","","JEFF","","","","","","9","DOLLAR TREE","WEST DES MOINES","IA",
"8540","05/24/18","INSTL","4258","JONES SIGN CO","506.72","0.00","506.72","100.00","","JEFF","","","","","","9","DOLLAR TREE","WEST DES MOINES","IA",
"8587","04/20/18","INSTL","4104","SIGNART","2031.93","937.30","1094.63","53.87","","JEFF","","","","","","4","CHRISTOPHER & BANKS","ALTOONA","IA",
"8587","04/20/18","INSTL","4104","SIGNART","281.10","102.96","178.14","63.37","","JEFF","","","","","","4","CHRISTOPHER & BANKS","ALTOONA","IA",
"8612","04/20/18","INSTL","5283","LOREN INDUSTRIES","1494.86","1297.87","196.99","13.18","135.00","JEFF","","","","","","1","AMERICAN EAGLE OUTFITTERS- LOREN INDUSTRIES","ALTOONA","IA",
"8612","04/20/18","INSTL","5283","LOREN INDUSTRIES","488.22","253.48","234.74","48.08","","JEFF","","","","","","1","AMERICAN EAGLE OUTFITTERS- LOREN INDUSTRIES","ALTOONA","IA",
"8612","04/20/18","INSTL","5283","LOREN INDUSTRIES","370.05","82.94","287.11","77.59","","JEFF","","","","","","1","AMERICAN EAGLE OUTFITTERS- LOREN INDUSTRIES","ALTOONA","IA",
"8660","05/31/18","INSTL","5257","ELRO SIGNS","0.00","0.00","0.00","","","JEFF","","","","","","1","CUBESMART","DES MOINES","IA",
"8660","05/31/18","INSTL","5257","ELRO SIGNS","0.00","0.00","0.00","","","JEFF","","","","","","1","CUBESMART","DES MOINES","IA",
"8660","05/31/18","INSTL","5257","ELRO SIGNS","0.00","0.00","0.00","","","JEFF","","","","","","1","CUBESMART","DES MOINES","IA",
"8660","05/31/18","INSTL","5257","ELRO SIGNS","135.00","39.10","95.90","71.04","","JEFF","","","","","","1","CUBESMART","DES MOINES","IA",
"8676","07/16/18","INSTL","5283","LOREN INDUSTRIES","1557.93","708.17","849.76","54.54","160.00","JEFF","","","","","","1","AMERICAN EAGLE OUTFITTERS- LOREN INDUSTRIES","ALTOONA","IA",
"8714","06/26/18","INSTL","5012","INTERSTATE SIGN CRAFTERS  LLC","960.78","605.67","355.11","36.96","","JEFF","","","","","","2","AEROPOSTALE","WEST DES MOINES","IA",
"8733","08/08/18","INSTL","2537","ICON IDENTITY SOLUTIONS","300.16","109.40","190.76","63.55","295.90","JEFF","","","","","","22","AVIS","JOHNSTON","IA",
"8733","08/08/18","INSTL","2537","ICON IDENTITY SOLUTIONS","300.16","72.94","227.22","75.70","","JEFF","","","","","","22","AVIS","JOHNSTON","IA",
"8733","08/08/18","INSTL","2537","ICON IDENTITY SOLUTIONS","269.56","80.53","189.03","70.13","","JEFF","","","","","","22","AVIS","JOHNSTON","IA",
"8733","08/08/18","INSTL","2537","ICON IDENTITY SOLUTIONS","815.80","325.63","490.17","60.08","","JEFF","","","","","","22","AVIS","JOHNSTON","IA",
"8733","08/08/18","INSTL","2537","ICON IDENTITY SOLUTIONS","87.26","48.62","38.64","44.28","","JEFF","","","","","","22","AVIS","JOHNSTON","IA",
"8757","08/16/18","INSTL","5336","SHERWOOD FOREST EVENT CENTER","1442.47","979.44","463.03","32.10","","JEFF","","","","","","DEFAULT","SHERWOOD FOREST EVENT CENTER","WINDSOR HEIGHTS","IA",
"8757","08/16/18","INSTL","5336","SHERWOOD FOREST EVENT CENTER","1163.40","702.69","460.71","39.60","","JEFF","","","","","","DEFAULT","SHERWOOD FOREST EVENT CENTER","WINDSOR HEIGHTS","IA",
"8757","08/16/18","INSTL","5336","SHERWOOD FOREST EVENT CENTER","289.29","226.40","62.89","21.74","","JEFF","","","","","","DEFAULT","SHERWOOD FOREST EVENT CENTER","WINDSOR HEIGHTS","IA",
"8778","08/23/18","INSTL","5340","WYCKOFF HEATING & COOLING","910.37","411.02","499.35","54.85","160.00","JEFF","","","","","","DEFAULT","WYCKOFF HEATING & COOLING","CARLISLE","IA",
"8800","10/24/18","INSTL","4258","JONES SIGN CO","3187.82","1130.60","2057.22","64.53","366.22","JEFF","","","","","","12","MARSHALLS - JONES SIGN CO","WEST DES MOINES","IA",
"8865","10/30/18","INSTL","5090","COLBY INTERESTS","0.00","62.21","-62.21","","","JEFF","","","","","","12","COUNTRY CLUB WEST/COLBY INTERESTS","CLIVE","IA",
"8892","10/26/18","INSTL","5387","TFA SIGNS","85.00","51.48","33.52","39.44","","JEFF","","","","","","1","METRO PCS - TFA SIGNS","DES MOINES","IA",
"8899","10/30/18","INSTL","5392","CHAMPION SIGNS & DISPLAYS  LLC","720.23","305.62","414.61","57.57","","JEFF","","","","","","1","BRICK STREET MARKET","BONDURANT","IA",
"","","INSTL","","Product Totals","37029.69","20663.47","16366.22","44.20","2192.09","JEFF",

"8484","01/31/18","INT","4040","CREATIVE DESIGN UNLIMITED","182.72","46.48","136.24","74.56","","JEFF","","","","","","2","GAP STORE - CREATIVE DESIGNS","WEST DES MOINES","IA",
"8484","01/31/18","INT","4040","CREATIVE DESIGN UNLIMITED","95.54","46.48","49.06","51.35","","JEFF","","","","","","2","GAP STORE - CREATIVE DESIGNS","WEST DES MOINES","IA",
"8484","01/31/18","INT","4040","CREATIVE DESIGN UNLIMITED","88.66","46.48","42.18","47.58","","JEFF","","","","","","2","GAP STORE - CREATIVE DESIGNS","WEST DES MOINES","IA",
"8484","01/31/18","INT","4040","CREATIVE DESIGN UNLIMITED","95.54","46.48","49.06","51.35","","JEFF","","","","","","2","GAP STORE - CREATIVE DESIGNS","WEST DES MOINES","IA",
"8486","01/31/18","INT","4040","CREATIVE DESIGN UNLIMITED","182.72","116.20","66.52","36.41","","JEFF","","","","","","2","GAP STORE #5201 Adult Store- CREATIVE DESIGNS","WEST DES MOINES","IA",
"8732","07/30/18","INT","5333","ANKENY FAMILY VISION CENTER","1125.00","514.00","611.00","54.31","","JEFF","","","","","","DEFAULT","ANKENY FAMILY VISION CENTER","ANKENY","IA",
"","","INT","","Product Totals","1770.18","816.12","954.06","53.90","0.00","JEFF",

"8432","02/09/18","MISC","2990","SAPPHIRE GYMNASTICS","2109.84","1655.84","454.00","21.52","75.00","JEFF","","","","","","DEFAULT","SAPPHIRE GYMNASTICS","URBANDALE","IA",
"8432","02/09/18","MISC","2990","SAPPHIRE GYMNASTICS","306.98","0.00","306.98","100.00","","JEFF","","","","","","DEFAULT","SAPPHIRE GYMNASTICS","URBANDALE","IA",
"8484","01/31/18","MISC","4040","CREATIVE DESIGN UNLIMITED","424.52","46.48","378.04","89.05","","JEFF","","","","","","2","GAP STORE - CREATIVE DESIGNS","WEST DES MOINES","IA",
"8484","01/31/18","MISC","4040","CREATIVE DESIGN UNLIMITED","0.00","0.00","0.00","","","JEFF","","","","","","2","GAP STORE - CREATIVE DESIGNS","WEST DES MOINES","IA",
"8486","01/31/18","MISC","4040","CREATIVE DESIGN UNLIMITED","395.66","153.68","241.98","61.16","","JEFF","","","","","","2","GAP STORE #5201 Adult Store- CREATIVE DESIGNS","WEST DES MOINES","IA",
"8486","01/31/18","MISC","4040","CREATIVE DESIGN UNLIMITED","0.00","0.00","0.00","","","JEFF","","","","","","2","GAP STORE #5201 Adult Store- CREATIVE DESIGNS","WEST DES MOINES","IA",
"8588","06/14/18","MISC","4298","SMART INDUSTRIES","1457.96","940.74","517.22","35.48","","JEFF","","","","","","DEFAULT","SMART INDUSTRIES","DES MOINES","IA",
"8638","05/08/18","MISC","5292","SHANGHAI CHINESE & VIETNAMESE RESTAURANT","1327.29","488.62","838.67","63.19","","JEFF","","","","","","DEFAULT","SHANGHAI CHINESE & VIETNAMESE RESTAURANT","WAUKEE","IA",
"8684","06/25/18","MISC","5090","COLBY INTERESTS","698.66","271.82","426.84","61.09","","JEFF","","","","","","3","LEEZA SALON- COLBY INTERESTS","URBANDALE","IA",
"8705","06/14/18","MISC","5321","DEAVER ELECTRIC INC.","1362.40","682.60","679.80","49.90","","JEFF","","","","","","DEFAULT","DEAVER ELECTRIC INC.","GRIMES","IA",
"8816","08/30/18","MISC","5090","COLBY INTERESTS","245.59","133.71","111.88","45.56","","JEFF","","","","","","10","CHIROPRACTOR","WEST DES MOINES","IA",
"8818","09/11/18","MISC","5090","COLBY INTERESTS","192.00","0.00","192.00","100.00","","JEFF","","","","","","8","OCCUPATIONAL MEDICINE PLUS","CLIVE","IA",
"","","MISC","","Product Totals","8520.90","4373.49","4147.41","48.67","75.00","JEFF",

"8578","05/25/18","MONMNT","5271","ANKENY FREE CHURCH","1838.17","1565.48","272.69","14.83","297.00","JEFF","","","","","","DEFAULT","ANKENY FREE CHURCH","ANKENY","IA",
"8578","05/25/18","MONMNT","5271","ANKENY FREE CHURCH","7294.00","4170.13","3123.87","42.83","","JEFF","","","","","","DEFAULT","ANKENY FREE CHURCH","ANKENY","IA",
"8578","05/25/18","MONMNT","5271","ANKENY FREE CHURCH","3015.86","2250.00","765.86","25.39","","JEFF","","","","","","DEFAULT","ANKENY FREE CHURCH","ANKENY","IA",
"8657","05/29/18","MONMNT","3951","ALLEN INDUSTRIES   INC","575.00","255.78","319.22","55.52","","JEFF","","","","","","13","MACK TRUCKS--ALLEN INDUSTRIES","FORT DODGE","IA",
"8695","06/29/18","MONMNT","5316","INTERPOWER CORPORATION","2625.10","1241.12","1383.98","52.72","","JEFF","","","","","","DEFAULT","INTERPOWER CORPORATION","AMES","IA",
"8702","09/14/18","MONMNT","5319","STATE FARM - STEVE CURREN","7211.04","5202.03","2009.01","27.86","247.20","JEFF","","","","","","DEFAULT","STATE FARM - STEVE CURREN","WEST DES MOINES","IA",
"","","MONMNT","","Product Totals","22559.17","14684.54","7874.63","34.91","544.20","JEFF",

"8359","12/16/17","NEON","5189","THE CONCRETE COMPANY","2195.12","1224.45","970.67","44.22","","JEFF","","","","","","DEFAULT","CONCRETE COMPANY","GRIMES","IA",
"","","NEON","","Product Totals","2195.12","1224.45","970.67","44.22","0.00","JEFF",

"8471","03/02/18","PLFORM","4776","SCHAFER SYSTEMS  INC.","900.34","488.83","411.51","45.71","","JEFF","","","","","","DEFAULT","SCHAFER SYSTEMS, INC.","ADAIR","IA",
"8622","05/07/18","PLFORM","97900","SCHRODER CONSTRUCTION SERVICES","320.90","66.12","254.78","79.40","","JEFF","","","","","","DEFAULT","SCHRODER CONSTRUCTION SERVICES","West Des Moines","IA",
"8622","05/07/18","PLFORM","97900","SCHRODER CONSTRUCTION SERVICES","753.97","362.44","391.53","51.93","","JEFF","","","","","","DEFAULT","SCHRODER CONSTRUCTION SERVICES","West Des Moines","IA",
"","","PLFORM","","Product Totals","1975.21","917.39","1057.82","53.55","0.00","JEFF",

"8513","04/11/18","PLYWD","5248","BENCHMARK REAL ESTATE GROUP","909.99","668.77","241.22","26.51","245.34","JEFF","","","","","","1","THE 8TH ST. OFFICE BUILDING","WEST DES MOINES","IA",
"8643","05/09/18","PLYWD","5248","BENCHMARK REAL ESTATE GROUP","909.99","697.19","212.80","23.38","","JEFF","","","","","","2","BENCHMARK REAL ESTATE GROUP","DES MOINES","IA",
"","","PLYWD","","Product Totals","1819.98","1365.96","454.02","24.95","245.34","JEFF",

"8451","03/02/18","PRMT","112460","THE INSITE GROUP","0.00","0.00","0.00","","","JEFF","","","","","","18","COUNTRY INN & SUITES","FORT DODGE","IA",
"8452","03/30/18","PRMT","112460","THE INSITE GROUP","0.00","0.00","0.00","","","JEFF","","","","","","21","COUNTRY INN & SUITES","GRINNELL","IA",
"8474","06/13/18","PRMT","4258","JONES SIGN CO","0.00","58.63","-58.63","","","JEFF","","","","","","7","DOLLAR TREE - JONES SIGN","DES MOINES","IA",
"8492","02/24/18","PRMT","5238","TYTY'S NAILS","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","TYTY'S NAILS","GRINNELL","IA",
"8494","02/28/18","PRMT","5239","VILLA NAILS & SPA","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","VILLA NAILS & SPA","ANKENY","IA",
"8513","04/11/18","PRMT","5248","BENCHMARK REAL ESTATE GROUP","0.00","0.00","0.00","","","JEFF","","","","","","1","THE 8TH ST. OFFICE BUILDING","WEST DES MOINES","IA",
"8519","07/09/18","PRMT","4258","JONES SIGN CO","0.00","39.08","-39.08","","","JEFF","","","","","","10","DOLLAR TREE - JONES SIGN","KNOXVILLE","IA",
"8532","05/15/18","PRMT","5260","DR. JOHN LINDSTROM","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","Core Chiropractic","WAUKEE","IA",
"8540","05/24/18","PRMT","4258","JONES SIGN CO","0.00","0.00","0.00","","","JEFF","","","","","","9","DOLLAR TREE","WEST DES MOINES","IA",
"8546","03/30/18","PRMT","5263","HAZ-MAT RESPONSE INC.","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","HAZ-MAT RESOURCES","GRIMES","IA",
"8566","04/25/18","PRMT","5266","TREASURE CHEST THRIFT STORE","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","TREASURE CHEST THRIFT STORE","DES MOINES","IA",
"8578","05/25/18","PRMT","5271","ANKENY FREE CHURCH","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","ANKENY FREE CHURCH","ANKENY","IA",
"8587","04/20/18","PRMT","4104","SIGNART","0.00","0.00","0.00","","","JEFF","","","","","","4","CHRISTOPHER & BANKS","ALTOONA","IA",
"8590","05/08/18","PRMT","5274","MP NEXLEVEL","0.00","0.00","0.00","","","JEFF","","","","","","1","MP NEXLEVEL","GRIMES","IA",
"8612","04/20/18","PRMT","5283","LOREN INDUSTRIES","0.00","0.00","0.00","","","JEFF","","","","","","1","AMERICAN EAGLE OUTFITTERS- LOREN INDUSTRIES","ALTOONA","IA",
"8617","06/07/18","PRMT","5286","EVOLVE JUICERY & PALEO STORE","0.00","180.18","-180.18","","","JEFF","","","","","","DEFAULT","EVOLVE JUICERY & PALEO STORE","DES MOINES","IA",
"8628","05/08/18","PRMT","5289","THE LAUNDRY ROOM","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","THE LAUNDRY ROOM","ALTOONA","IA",
"8632","05/03/18","PRMT","5290","NORMA JEANNE'S THREADS","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","NORMA JEANNE´S THREADS","WINTERSET","IA",
"8643","05/09/18","PRMT","5248","BENCHMARK REAL ESTATE GROUP","0.00","0.00","0.00","","202.00","JEFF","","","","","","2","BENCHMARK REAL ESTATE GROUP","DES MOINES","IA",
"8645","05/04/18","PRMT","5295","CSI-IA & BONDING","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","CSI-IA & BONDING","DES MOINES","IA",
"8658","06/21/18","PRMT","5299","ANIMAL LIFELINE OF IOWA","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","ANIMAL LIFELINE OF IOWA","DES MOINES","IA",
"8676","07/16/18","PRMT","5283","LOREN INDUSTRIES","0.00","39.08","-39.08","","","JEFF","","","","","","1","AMERICAN EAGLE OUTFITTERS- LOREN INDUSTRIES","ALTOONA","IA",
"8692","06/18/18","PRMT","5314","CICI'S PIZZA","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","CICI´S PIZZA","DES MOINES","IA",
"8695","06/29/18","PRMT","5316","INTERPOWER CORPORATION","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","INTERPOWER CORPORATION","AMES","IA",
"8697","06/25/18","PRMT","5090","COLBY INTERESTS","0.00","0.00","0.00","","","JEFF","","","","","","4","ATOMIC NUMBER 26","URBANDALE","IA",
"8698","08/29/18","PRMT","4258","JONES SIGN CO","0.00","0.00","0.00","","","JEFF","","","","","","11","DOLLAR TREE","URBANDALE","IA",
"8702","09/14/18","PRMT","5319","STATE FARM - STEVE CURREN","0.00","39.08","-39.08","","","JEFF","","","","","","DEFAULT","STATE FARM - STEVE CURREN","WEST DES MOINES","IA",
"8712","07/24/18","PRMT","5324","LABOR MAX STAFFING","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","LABOR MAX STAFFING","DES MOINES","IA",
"8725","07/25/18","PRMT","5090","COLBY INTERESTS","0.00","58.63","-58.63","","","JEFF","","","","","","5","WHIT´S END MASSAGE","WINDSOR HEIGHTS","IA",
"8728","07/11/18","PRMT","5331","IN & OUT MARKET","0.00","29.32","-29.32","","","JEFF","","","","","","DEFAULT","IN & OUT MARKET","DES MOINES","IA",
"8729","07/13/18","PRMT","5332","IN & OUT MARKET","0.00","29.32","-29.32","","","JEFF","","","","","","DEFAULT","IN & OUT MARKET","DES MOINES","IA",
"8732","07/30/18","PRMT","5333","ANKENY FAMILY VISION CENTER","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","ANKENY FAMILY VISION CENTER","ANKENY","IA",
"8733","08/08/18","PRMT","2537","ICON IDENTITY SOLUTIONS","0.00","78.18","-78.18","","","JEFF","","","","","","22","AVIS","JOHNSTON","IA",
"8757","08/16/18","PRMT","5336","SHERWOOD FOREST EVENT CENTER","0.00","58.63","-58.63","","","JEFF","","","","","","DEFAULT","SHERWOOD FOREST EVENT CENTER","WINDSOR HEIGHTS","IA",
"8776","08/15/18","PRMT","5331","IN & OUT MARKET","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","IN & OUT MARKET","DES MOINES","IA",
"8777","08/15/18","PRMT","5332","IN & OUT MARKET","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","IN & OUT MARKET","DES MOINES","IA",
"8778","08/23/18","PRMT","5340","WYCKOFF HEATING & COOLING","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","WYCKOFF HEATING & COOLING","CARLISLE","IA",
"8790","08/20/18","PRMT","5090","COLBY INTERESTS","0.00","19.55","-19.55","","","JEFF","","","","","","6","LINCOLN & LEXI","WINDSOR HEIGHTS","IA",
"8800","10/24/18","PRMT","4258","JONES SIGN CO","0.00","0.00","0.00","","","JEFF","","","","","","12","MARSHALLS - JONES SIGN CO","WEST DES MOINES","IA",
"8806","09/30/18","PRMT","5333","ANKENY FAMILY VISION CENTER","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","ANKENY FAMILY VISION CENTER","ANKENY","IA",
"8807","09/24/18","PRMT","5090","COLBY INTERESTS","0.00","0.00","0.00","","","JEFF","","","","","","7","AGORA EVENTS CENTER","DES MOINES","IA",
"8847","10/30/18","PRMT","2371","COAST SIGN  INCORPORATED","135.00","39.08","95.92","71.05","217.07","JEFF","","","","","","39","T-MOBILE 257F - COAST SIGN INC.","WEST DES MOINES","IA",
"8848","10/04/18","PRMT","5368","DES MOINES AUTO GROUP LLC","0.00","0.00","0.00","","","JEFF","","","","","","DEFAULT","DES MOINES AUTO GROUP LLC","DES MOINES","IA",
"8853","09/28/18","PRMT","2535","ATLAS SIGN INDUSTRIES","135.00","0.00","135.00","100.00","75.00","JEFF","","","","","","54","TARGET","ALTOONA","IA",
"","","PRMT","","Product Totals","270.00","668.76","-398.76","-147.69","494.07","JEFF",

"8630","04/26/18","PYLON","3951","ALLEN INDUSTRIES   INC","690.58","268.09","422.49","61.18","","JEFF","","","","","","9","MACK TRUCKS / ALLEN INDUSTRIES","CARROLL","IA",
"8658","06/21/18","PYLON","5299","ANIMAL LIFELINE OF IOWA","4051.48","2422.27","1629.21","40.21","260.00","JEFF","","","","","","DEFAULT","ANIMAL LIFELINE OF IOWA","DES MOINES","IA",
"8680","06/21/18","PYLON","5299","ANIMAL LIFELINE OF IOWA","1350.21","685.74","664.47","49.21","","JEFF","","","","","","DEFAULT","ANIMAL LIFELINE OF IOWA","DES MOINES","IA",
"8728","07/11/18","PYLON","5331","IN & OUT MARKET","2364.60","1036.31","1328.29","56.17","230.00","JEFF","","","","","","DEFAULT","IN & OUT MARKET","DES MOINES","IA",
"8848","10/04/18","PYLON","5368","DES MOINES AUTO GROUP LLC","1552.79","686.82","865.97","55.77","219.50","JEFF","","","","","","DEFAULT","DES MOINES AUTO GROUP LLC","DES MOINES","IA",
"","","PYLON","","Product Totals","10009.66","5099.23","4910.43","49.06","709.50","JEFF",

"8372","12/16/17","REPFCE","5196","ATLAS ROOFING & COATING SYSTEMS","838.37","569.95","268.42","32.02","35.00","JEFF","","","","","","DEFAULT","ATLAS ROOFING & COATING SYSTEMS","DES MOINES","IA",
"8387","12/29/17","REPFCE","5171","RED ROSSA PIZZA","1850.34","1036.42","813.92","43.99","","JEFF","","","","","","DEFAULT","RED ROSSA PIZZA","CLIVE","IA",
"8485","01/26/18","REPFCE","5090","COLBY INTERESTS","519.08","148.93","370.15","71.31","92.25","JEFF","","","","","","2","HANA RAMEN SUSHI","WEST DES MOINES","IA",
"8629","05/08/18","REPFCE","5090","COLBY INTERESTS","469.20","218.44","250.76","53.44","","JEFF","","","","","","DEFAULT","COLBY INTERESTS","WINDSOR HEIGHTS","IA",
"8712","07/24/18","REPFCE","5324","LABOR MAX STAFFING","691.24","498.70","192.54","27.85","","JEFF","","","","","","DEFAULT","LABOR MAX STAFFING","DES MOINES","IA",
"8807","09/24/18","REPFCE","5090","COLBY INTERESTS","1560.51","1022.26","538.25","34.49","179.00","JEFF","","","","","","7","AGORA EVENTS CENTER","DES MOINES","IA",
"8819","09/05/18","REPFCE","5090","COLBY INTERESTS","152.73","112.15","40.58","26.57","","JEFF","","","","","","11","BRIDGEWOOD PLAZA - COLBY INTEREST","WEST DES MOINES","IA",
"8842","09/17/18","REPFCE","2535","ATLAS SIGN INDUSTRIES","122.78","46.48","76.30","62.14","","JEFF","","","","","","43","US CELLULAR # 3110- ATLAS SIGN","URBANDALE","IA",
"","","REPFCE","","Product Totals","6204.25","3653.33","2550.92","41.12","306.25","JEFF",

"8364","11/30/17","SRVCE","5193","ROYAL SERVICES","685.05","229.52","455.53","66.50","","JEFF","","","","","","1","RODS HALLMARK SHOP -ROYAL SERVICES","CRESTON","IA",
"8587","04/20/18","SRVCE","4104","SIGNART","166.61","0.00","166.61","100.00","","JEFF","","","","","","4","CHRISTOPHER & BANKS","ALTOONA","IA",
"8612","04/20/18","SRVCE","5283","LOREN INDUSTRIES","382.76","113.61","269.15","70.32","","JEFF","","","","","","1","AMERICAN EAGLE OUTFITTERS- LOREN INDUSTRIES","ALTOONA","IA",
"8676","07/16/18","SRVCE","5283","LOREN INDUSTRIES","382.76","0.00","382.76","100.00","","JEFF","","","","","","1","AMERICAN EAGLE OUTFITTERS- LOREN INDUSTRIES","ALTOONA","IA",
"8695","06/29/18","SRVCE","5316","INTERPOWER CORPORATION","986.02","201.90","784.12","79.52","","JEFF","","","","","","DEFAULT","INTERPOWER CORPORATION","AMES","IA",
"8695","06/29/18","SRVCE","5316","INTERPOWER CORPORATION","414.88","72.59","342.29","82.50","","JEFF","","","","","","DEFAULT","INTERPOWER CORPORATION","AMES","IA",
"SC5190","01/17/18","SRVCE","5197","POWER LIFE YOGA","0.00","32.42","-32.42","","","JEFF","","","","","","DEFAULT","POWER LIFE YOGA","WEST DES MOINES","IA",
"SC5309","04/26/18","SRVCE","4555","DOWNING DEVELOPMENT  LTD.","0.00","0.00","0.00","","","JEFF","","","","","","2","SHANGHAI CHINESE & VIETNAMESE RESTAURANT","WAUKEE","IA",
"SC5360","06/06/18","SRVCE","3329","TENSION ENVELOPES","150.00","103.68","46.32","30.88","","JEFF","","","","","","DEFAULT","TENSION ENVELOPES","DES MOINES","IA",
"SC5413","07/26/18","SRVCE","5274","MP NEXLEVEL","0.00","893.74","-893.74","","","JEFF","","","","","","1","MP NEXLEVEL","GRIMES","IA",
"SC5448","08/06/18","SRVCE","5343","ECONO LODGE","0.00","62.24","-62.24","","","JEFF","","","","","","DEFAULT","ECONO LODGE","DES MOINES","IA",
"SC5455","08/27/18","SRVCE","5316","INTERPOWER CORPORATION","0.00","14.72","-14.72","","","JEFF","","","","","","DEFAULT","INTERPOWER CORPORATION","AMES","IA",
"SC5517","10/14/18","SRVCE","5375","ENVISTA FORENSICS","112.50","64.35","48.15","42.80","","JEFF","","","","","","1","ECONO LODGE - ENVISTA FORRENSICS","DES MOINES","IL",
"","","SRVCE","","Product Totals","3280.58","1788.77","1491.81","45.47","0.00","JEFF",

"8474","06/13/18","SURVEY","4258","JONES SIGN CO","250.00","93.33","156.67","62.67","","JEFF","","","","","","7","DOLLAR TREE - JONES SIGN","DES MOINES","IA",
"8519","07/09/18","SURVEY","4258","JONES SIGN CO","425.00","71.28","353.72","83.23","165.00","JEFF","","","","","","10","DOLLAR TREE - JONES SIGN","KNOXVILLE","IA",
"8540","05/24/18","SURVEY","4258","JONES SIGN CO","250.00","165.88","84.12","33.65","465.36","JEFF","","","","","","9","DOLLAR TREE","WEST DES MOINES","IA",
"8564","03/13/18","SURVEY","2395","ARCHITECTURAL GRAPHICS  INC.","250.00","82.94","167.06","66.82","","JEFF","","","","","","8","LENNOX INDUSTRIES - PARTSPLUS","URBANDALE","IA",
"8587","04/20/18","SURVEY","4104","SIGNART","250.00","51.85","198.15","79.26","135.00","JEFF","","","","","","4","CHRISTOPHER & BANKS","ALTOONA","IA",
"8637","06/14/18","SURVEY","5012","INTERSTATE SIGN CRAFTERS  LLC","250.00","155.53","94.47","37.79","","JEFF","","","","","","2","AEROPOSTALE","WEST DES MOINES","IA",
"8645","05/04/18","SURVEY","5295","CSI-IA & BONDING","250.00","34.73","215.27","86.11","233.00","JEFF","","","","","","DEFAULT","CSI-IA & BONDING","DES MOINES","IA",
"8656","05/17/18","SURVEY","4258","JONES SIGN CO","250.00","134.79","115.21","46.08","","JEFF","","","","","","11","DOLLAR TREE","URBANDALE","IA",
"8660","05/31/18","SURVEY","5257","ELRO SIGNS","0.00","0.00","0.00","","","JEFF","","","","","","1","CUBESMART","DES MOINES","IA",
"8759","07/17/18","SURVEY","5337","BEREAN ASSEMBLY CHURCH","0.00","116.20","-116.20","","","JEFF","","","","","","DEFAULT","BEREAN ASSEMBLY CHURCH","PLEASANT HILL","IA",
"8768","07/31/18","SURVEY","5176","ALLEN INDUSTRIES - HARMON SIGN DIVISION","250.00","180.18","69.82","27.93","","JEFF","","","","","","2","PETCO","WEST DES MOINES","IA",
"8770","07/30/18","SURVEY","5176","ALLEN INDUSTRIES - HARMON SIGN DIVISION","250.00","128.70","121.30","48.52","","JEFF","","","","","","3","PETCO","DES MOINES","IA",
"8787","08/07/18","SURVEY","3534","ADVANCE SIGN GROUP  LLC","450.00","163.51","286.49","63.66","","JEFF","","","","","","3","BUCKLE #23","CARROLL","IA",
"8879","10/23/18","SURVEY","5379","IOWA TRUST & SAVINGS BANK","0.00","344.93","-344.93","","","JEFF","","","","","","DEFAULT","IOWA TRUST & SAVINGS BANK","EMMETSBURG","IA",
"","","SURVEY","","Product Totals","3125.00","1723.85","1401.15","44.84","998.36","JEFF",

"8376","11/21/17","VINYL","5197","POWER LIFE YOGA","252.70","92.89","159.81","63.24","","JEFF","","","","","","DEFAULT","POWER LIFE YOGA","WEST DES MOINES","IA",
