Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
214-3230,1/4 HEX NUT,HRDWRE,EA,EA,160,0.0119,0.02083,0.0119,0.0071,0,0.0119,0.0074
214-3235,"1/4"" X 20 Rivet Nut",HRDWRE,EA,EA,-134,0.9027,1.57973,0.9027,0,0,0.9003,0.7825
214-3240,"1/4"" SPEED NUT - FLAT(TINNERMAN)",HRDWRE,EA,EA,236,0.0992,0.23,0.0992,0.1301,0,0.0992,0.0992
214-3265,"5/16"" Hex Nut",HRDWRE,EA,EA,600,0.0152,0.0266,0.0152,0,0,0,0
214-3270,3/8 HEX NUT,HRDWRE,EA,EA,1193,0.02174,0.03805,0.0217,0.0163,0,0.025,0.0208
214-3278,"1/2"" Alum.Nuts",HRDWRE,EA,EA,176,0.3516,0.6153,0.3516,0.1565,0,0.3696,0.3516
214-3280,1/2 HEX NUT,HRDWRE,EA,EA,1571,0.07848,0.13734,0.0785,0.065,0,0.0785,0.0688
214-3310,5/8 HEX NUT,HRDWRE,EA,EA,6,0.052,0.11,0.052,0.052,0,0.5029,0.5033
214-3480,1-1/8 HEX NUT,HRDWRE,EA,EA,321,1.26245,2.20929,1.2625,0.5,0,1.27,1.2395
214-3530,1-3/4 NUT,HRDWRE,EA,EA,-8,4.87,8.52,4.87,4.87,0,0,0
214-3540,#10-24 HEX NUTS,HRDWRE,EA,EA,3440,0.0109,,0.0109,0.0109,0,0.0109,0.0109
214-3550,10-24 TINNERMAN NUT,HRDWRE,EA,EA,3040,0.0945,0.54075,0.0945,0.03,0,0.0945,0.0945
214-3600,6-32 (3/16) NUT,HRDWRE,EA,EA,2,0.004,0.03,0.004,0.004,0,8.2069,8.205
214-3640,5/16 REPAIR LINKS,HRDWRE,EA,EA,-20,0.2,0.38,0.2,0.2,0,0,0
214-3645,Bulbex Rivets BF01-0630,HRDWRE,EA,EA,218,0.0886,,0.0886,0.1752,0,0.095,0.0886
214-3649,4-4 S/S rivet,HRDWRE,EA,EA,2418,0.02486,0.06486,0.0249,0,0,0.0322,0.0249
214-3660,6-2 S/S rivet,HRDWRE,EA,EA,6760,0.0143,0.06,0.0143,0.0143,0,0,0
214-3670,6-4 S/S rivet,HRDWRE,EA,EA,1296,0.0671,0.12,0.0671,0.0671,0,0,0
214-3711,4-6 S/S rivet,HRDWRE,EA,EA,-20,0.03,0.0525,0.03,0.03,0,0.03,0.0297
214-3712,6-6 S/S rivet,HRDWRE,EA,EA,1500,0.03,0.0525,0.03,0.03,0,0,0
214-3715,4-2 A/A rivet,HRDWRE,EA,EA,2877,0.016,0.028,0.016,0.04,0,0.0142,0.016
214-3716,4-4 A/A rivet,HRDWRE,EA,EA,1870,0.02055,0.03596,0.0206,0.0332,0,0.0206,0.0206
214-3750,"1/4"" TAPCON SCREW",HRDWRE,EA,EA,458,0.2243,0.44,0.2243,0.2243,0,59.2879,0.8325
214-3755,"3/8"" x 3"" TAPCON SCREW",HRDWRE,EA,EA,46,0.9198,1.60965,0.9198,0,0,2.6396,21.5
214-3850,#8 X 3 GALV DECK SCREW,HRDWRE,EA,EA,125,0.02,0.08,0.02,0.02,0,0,0
214-4100,"1/4"" x 1"" THMS",HRDWRE,EA,EA,480,0.04,0.07,0.04,0.04,0,0.04,0.04
214-4180,"10-24 x 1/2"" THMS",HRDWRE,EA,EA,1891,0.02548,0.04459,0.0255,0.0131,0,0.0255,0.0123
214-4291,#8 x 1/2 FHSMS,HRDWRE,EA,EA,501,0.04,0.07,0.04,0,0,0.04,0.04
214-4310,"#10 x 3/4"" TEK Screw",HRDWRE,EA,EA,2000,0.018,0.0315,0.018,0.1,0,0.018,0.018
214-4311,"#10 x 3/4"" PHPSMS Pancake Head Phillips Sheet Metal Screw",HRDWRE,EA,EA,3811,0.08925,0.15619,0.0893,0,0,0.091,0.0891
214-4312,"#10 x 1/2"" TEK Screws",HRDWRE,EA,EA,-1511,0.01675,0.02931,0.0168,0.0195,0,0.02,0.0168
214-4320,"#10 x 3/4"" TEK Screw w/ Rubb",HRDWRE,EA,EA,3572,0.0838,0.14665,0.0838,0.1005,0,0.0762,0.0726
214-4380,"#12-24 x 1 1/2"" TEK 5 (Man Killer)",HRDWRE,EA,EA,1545,0.19849,0.34736,0.1985,0.3147,0,0.1985,0.1925
214-4410,"#14 x 3/4"" Tek Screw",HRDWRE,EA,EA,544,0.03,0.0525,0.03,0.03,0,0.0317,0.03
214-4440,#14 X 1-1/2 SELF TAPPER SCREW,HRDWRE,EA,EA,4,0.0285,0.3,0.0285,0.0285,0,10.1329,10.1325
214-4470,#14 X 2 SELF TAPPING SCR,HRDWRE,EA,EA,60,0.24,0.53,0.24,0.24,0,0,0
214-4480,#14 X 2-1/2 SELF TAPPING SCREW,HRDWRE,EA,EA,2,0.2511,0.44,0.2511,0.2511,0,30.3559,30.355
214-4652,"#8 x 1/2"" PHSMS Black",HRDWRE,EA,EA,1257,0.0366,,0.0366,0.0366,0,0.0366,0.0366
214-4655,"#8 X 1/2"" PHILLIPS WAFER LATH SHARP POINT SCREW",HRDWRE,EA,EA,-594,0.0163,0.02853,0.0163,0,0,41.6658,41.67
214-4656,"#8 X 1/2"" Lath trim cap) screw",HRDWRE,EA,EA,2244,0.119,0.20825,0.119,0,0,0.1035,0.1175
214-4710,#10 X 1/2 SHEET METAL SC,HRDWRE,EA,EA,3396,0.02295,0.07,0.023,0.0094,0,0.023,0.032
214-4712,"#10 x 1/2"" HWHSMS - Black",HRDWRE,EA,EA,4050,0.08136,0.14238,0.0814,0.034,0,0.0859,0.0791
214-4995,3/16 aluminum weld studs,HRDWRE,EA,EA,1225,0.73424,1.28492,0.7342,0,0,0.6102,0.6537
214-5000,"2"" STUDS X 3/16 ALUMINUM",HRDWRE,EA,EA,-220,0.4784,0.8372,0.4784,0.1878,0,0.4784,0.1878
214-5020,"3"" STUDS X 3/16 ALUMINUM",HRDWRE,EA,EA,275,0.3768,0.6594,0.3768,0.0767,0,0.25,0.3768
214-5190,3/8 THREADED ROD,HRDWRE,FT,PC,2,2.05,2.48,2.05,2.05,0,0,0
214-5380,45 WALL ANGLE #304,HRDWRE,EA,EA,208,1.66,2.905,1.66,0.587,0,1.83,1.6481
214-5430,3/16 FLAT WASHERS,HRDWRE,EA,EA,2838,0.00962,0.05,0.0096,0.0037,0,0.0096,0.0096
214-5440,1/4 FLAT WASHERS,HRDWRE,EA,EA,1144,0.008,0.014,0.008,0.0044,0,0.012,0.0097
214-5450,5/16 FLAT WASHERS,HRDWRE,EA,EA,431,0.0365,0.07,0.0365,0.0365,0,0.05,0.0365
214-5460,3/8 FLAT WASHERS,HRDWRE,EA,EA,1491,0.0305,0.05338,0.0305,0.0148,0,0.0405,0.0304
214-5470,1/2 FLAT WASHERS,HRDWRE,EA,EA,1575,0.06,0.105,0.06,0.0366,0,0.06,0.0614
214-5500,5/8 FLAT WASHERS,HRDWRE,EA,EA,6,0.10816,0.18928,0.1082,0.0501,0,2.0223,3.3133
214-5510,5/8 FLAT WASHERS/A325,HRDWRE,EA,EA,481,0.10024,0.17542,0.1002,0.066,0,0.1428,0.1002
214-5520,"3/4"" flat washers",HRDWRE,EA,EA,459,0.11032,,0.1103,0.1103,0,2.8783,0.0063
214-5530,7/8 FLAT WASHERS,HRDWRE,EA,EA,442,0.2829,0.5,0.2829,0.2829,0,0.3788,0.0551
214-5550,"1"" flat washers",HRDWRE,EA,EA,18,0.09,,0.09,0.09,0,0.3963,0.09
214-5560,1-1/8 FLAT WASHERS,HRDWRE,EA,EA,279,0.5524,0.9667,0.5524,0.91,0,0.56,0.5336
214-5590,3/16 FENDER WASHERS,HRDWRE,EA,EA,100,0.0466,0.1,0.0466,0.0466,0,0.1307,0.1307
214-5600,1/4 FENDER WASHERS,HRDWRE,EA,EA,72,0.1242,0.21735,0.1242,0.0126,0,17.5879,0.6094
214-5630,1/4 LOCK WASHERS,HRDWRE,EA,EA,168,0.009,0.06,0.009,0.009,0,0,0
214-5640,3/8 LOCK WASHERS,HRDWRE,EA,EA,50,0.0188,0.0329,0.0188,0.0028,0,0.0188,0.0153
214-5650,1/2 LOCK WASHERS,HRDWRE,EA,EA,135,0.06,0.12,0.06,0.06,0,0,0
215-0145,.118 SGC100 112C Clear Lexan,FLEXAN,SF,RL,824,1.99,3.4825,1.99,0,0,1.99,1.9
215-0189,.150 CLEAR LEXAN,FLEXAN,SF,SF,21,4.18,7.315,4.18,0,0,3.685,4.18
215-0199,.150 White Polycarbonate,FLEXAN,SF,SF,294,3.02118,5.28707,3.0212,0,0,3.0618,3.0258
215-0535,.177 WHITE FF #2447 PLEXIGLAS,FPLEX,SF,SF,275,2.8,7.5775,2.8,0,0,2.6758,3.3475
216-0100,1 X 10 LUMBER,FLUMBR,LF,LF,-547,0.348,1.42,0.348,0.348,0,10.9354,10.9355
216-0151,"1"" X 4"" X 12' SPF WOOD FRAMING",FLUMBR,FT,PC,-386,0.75,1.50792,0.75,0.233,0,0.69,0.75
216-0251,"2"" X 4"" X 20' SPF WOOD FRAMING",FLUMBR,FT,PC,2972,1.075,2.62493,1.075,0.36,0,0.7167,1.3975
216-0252,"2"" X 4"" X 12' SPF WOOD FRAMING",FLUMBR,LF,PC,-121,0.5,0.875,0.5,0.36,0,0.5,0.5
216-0421,"7/16"" OSB 4'x 8'sheet",FLUMBR,SF,SH,2992,0.775,1.35625,0.775,0.385,0,0.775,0.775
217-0120,1/2 EGG CRATE LOUVER,FPLEX,SF,PC,188,3.88875,6.80531,3.8888,0.8125,0,2.9775,3.5566
217-0335,.250 CLEAR FF PLEXIGLAS,FPLEX,SF,SF,12,4.0325,9.4325,4.0325,3.15,0,4.3434,4.0824
217-0485,.177 CLEAR IMPACT MODIFIED ACRYLIC,FPLEX,SF,SF,2463,11.05,19.3375,11.05,0,0,6.0017,6
217-0520,.177 RED PLEXIGLAS FF #2157,FPLEX,SF,SF,-32,6.7708,11.8489,6.7708,6.765,0,5.945,6.7708
217-0535,.177 White #2447 Plexiglas,FPLEX,SF,SH,-50,2.0849,3.64858,2.0849,2.0849,0,2.6225,2.0881
217-0537,.75 WHITE PLEX 7328,FPLEX,SF,SH,28,11.48,20.09,11.48,0,0,17.5694,11.48
217-0556,.177 #7328 WHITE FF PLEXIGLAS,FPLEX,SF,SF,139,2.75781,8.24469,2.7578,3.75,0,3.1091,2.8505
217-0557,.187 #2037 YELLOW FF PLEXIGLAS,FPLEX,SF,SF,195,4.30719,8.6222,4.3072,3.75,0,4.4669,4.3072
217-0590,1/4 WHITE PLEX,FPLEX,SF,SH,84,10.98,19.215,10.98,3.18,0,4.6331,10.98
217-0700,1/2 WHITE SINTRA (KOMATEX),FPLEX,SF,SF,26,4.13993,7.24488,4.1399,3.2888,0,5,4.14
217-0730,6MM WHITE KOMATEX SINTRA,FPLEX,SF,SF,40,1.88438,4.2875,1.8844,1.5519,0,3.5131,1.8844
217-0780,.750 CLEAR ACRYLIC SHEET,FPLEX,SF,SF,42,17.41063,30.4686,17.4106,16.71,0,12.2191,11.1616
217-0790,.500 CLEAR ACRYLIC SHEET,FPLEX,SF,SF,-2,9.29688,19.1,9.2969,10.91,0,8.4356,9.2969
217-0793,"1"" CLEAR ACRYLIC SHEET",FPLEX,SF,SF,124,20.40875,35.7153,20.4088,0,0,14.3147,9.0706
217-0795,"1"" 7328 WHITE ACRYLIC SHEET",FPLEX,SF,SF,40,23.36656,40.89148,23.3666,0,0,22.0422,17.3367
217-0796,.75 7328 WHITE ACRYLIC SHEET,FPLEX,SF,SF,28,13.76,24.08,13.76,0,0,13.7622,13.76
217-0800,.50 WHITE PLEX 7328,FPLEX,SF,SF,104,11.48,20.09,11.48,0,0,11.875,11.48
218-0160,"LETTER TRACK, BOTTOM - 8'",FCHANG,FT,PC,74,0.79875,1.39781,0.7988,0.468,0,0.655,0.7944
218-0170,"LETTER TRACK, MUTUAL - 8'",FCHANG,FT,PC,58,1.04,1.82,1.04,0.618,0,0.8413,1.0387
218-0180,"LETTER TRACK, TOP - 8'",FCHANG,FT,PC,72,0.965,1.68875,0.965,0.57,0,0.7963,0.9251
219-0100,1/2 X 1/2 X 1/8 ANGLE,FSTANG,FT,PC,-60,0.11,0.2,0.11,0.11,0,0,0
219-0120,1 X 1 X 1/8 ANGLE IRON,FSTANG,FT,PC,-2,0.472,0.826,0.472,0.3683,0,0.42,0.472
219-0150,"1-1/2"" X 1-1/2"" X 3/16"" ANGLE IRON",FSTANG,FT,FT,250,1.4175,2.625,1.4175,0.7753,0,1.2879,1.4213
219-0155,ANGLE IRON MOUNTING BRACKET - CAT,FSTANG,EA,,61,3.281,5.74175,3.281,0,0,2.7114,0
219-0170,"2"" X 2"" X 3/16"" ANGLE IRON",FSTANG,FT,PC,192,1.75,3.68536,1.75,1.0256,0,1.75,1.8679
219-0180,2 X 2 X 1/4 ANGLE IRON,FSTANG,FT,PC,-22,1.4925,3.444,1.4925,1.3089,0,1.4925,1.7714
219-0240,3 X 3 X 3/8 ANGLE IRON,FSTANG,FT,PC,18,1.321,2.31,1.321,1.321,0,0,0
219-0270,4 X 4 X 5/16 ANGLE IRON,FSTANG,FT,PC,7,2.1279,2.78,2.1279,2.1279,0,0,0
219-0580,4 IN X 5.4 LB CHANNEL,FSTBC,FT,PC,36,1.2393,2.16,1.2393,1.2393,0,0,0
219-0630,8 IN X 11.5 LB CHANNEL,FSTBC,FT,PC,19,2.2715,3.98,2.2715,2.2715,0,0,0
219-0800,1/4 X 6 FLAT STEEL,FSTFLT,FT,PC,4,3.98,6.965,3.98,1.8955,0,3.98,3.162
219-0930,"1/2"" X 6"" STEEL FLAT",FSTFLT,FT,PC,-100,5.05,10.9025,5.05,4.083,0,5.05,5.05
219-0940,"1/2"" X 8"" STEEL FLAT",FSTFLT,FT,PC,-1,7.2775,13.96938,7.2775,6.396,0,7.038,7.2775
219-0970,5/8 X 6 H.R. FLAT STEEL,FSTFLT,FT,PC,18,8.7025,15.22938,8.7025,2.48,0,8.9725,8.7025
219-0990,3/4 X 8 H.R. FLAT STEEL,FSTFLT,FT,PC,22,15.4,30.43688,15.4,8.9825,0,15.4,16.7396
219-1010,3/4 X 12 H R FLAT STEEL,FSTFLT,FT,PC,16,25.81,45.1675,25.81,12.644,0,25.81,20.825
219-1018,"1"" X 10"" STEEL FLAT",FSTFLT,FT,PC,-17,30.1575,52.77563,30.1575,16.5,0,25.77,26.6912
219-1040,1 X 8 FLAT STEEL,FSTFLT,FT,PC,27,18.224,31.892,18.224,11.4105,0,20.631,17.7339
219-1050,Hot Rolled Sheet,FSTPLT,SF,SH,2,1.74375,3.05156,1.7438,1.13,0,1.7438,1.7438
219-1130,1/2 X 6 POLE GUSSETS,FSTPLT,EA,EA,52,8.95,15.6625,8.95,1.96,0,11.1302,0
219-1139,"1/2"" X 8"" MATCH PLATE",FSTPLT,EA,EA,2,13.5599,23.72976,13.5599,10.39,0,19.9857,0
219-1141,"1/2"" x 8"" Top Plate",FSTPLT,EA,,19,30.37,53.1475,30.37,0,0,30.1925,0
219-1150,3/4 X 8 MATCH PLATE,FSTPLT,EA,EA,3,34.69,60.7075,34.69,20.99,0,34.6955,34.6799
219-1160,3/4 X 8 TOP PLATE,FSTPLT,EA,EA,49,47.95,83.9125,47.95,10.01,0,47.95,47.8323
219-1162,"1"" x 10"" x 10"" hurricane/170mph match plate",FSTPLT,EA,EA,-6,43.5,76.125,43.5,0,0,0,0
219-1164,"7/8"" x 8"" x 8"" high wind/135mph match plate",FSTPLT,EA,EA,-6,31.5,55.125,31.5,0,0,0,0
219-1265,"24 x 24 x 1.25"" CS Plate 9 H",FSTPLT,EA,EA,14,372.58185,652.30408,372.5819,139,0,372.5819,372.7452
219-1266,"24 x 24 x 1 3/8"" CS Plate 9 H",FSTPLT,EA,EA,1,400,700,400,0,0,400,400
219-1267,"24 x 24 x 1 3/4"" CS Plate 9 H",FSTPLT,EA,EA,15,521.67111,912.92444,521.6711,0,0,521.5,498.5363
219-1320,"5"" STEEL PIPE",FSTPIP,FT,PC,-15,11.94,20.895,11.94,6.75,0,12.537,8.0167
219-1330,"6"" STEEL PIPE",FSTPIP,FT,PC,10,18.585,50.4525,18.585,8.3501,0,18.585,22.0033
219-1340,"8"" STEEL PIPE",FSTPIP,FT,PC,9,30.83381,53.95917,30.8338,13.25,0,32.3755,16.0776
219-1640,5/8 H.R. SQUARE STEEL,FSTMIS,FT,PC,4,1.12,1.96,1.12,0.5447,0,1.12,0.5445
219-1731,"1-1/2"" X 1-1/2"" X 3/16"" SQ STEEL TUBE ",FSTTBE,FT,FT,66,2.35,4.68956,2.35,2,0,2.15,2.5492
219-1761,2 X 2 X 1/8 SQ STEEL TBE,FSTTBE,FT,PC,19,1.7525,3.07,1.7525,1.7525,0,0,0
219-1771,2 X 2 X 3/16 SQ STEEL TBE,FSTTBE,FT,PC,68,3.43542,6.01199,3.4354,2.08,0,3.4354,1.85
219-1781,2 X 2 X 1/4 SQ STEEL TBE,FSTTBE,FT,PC,48,4.7689,13.195,4.7689,1.63,0,4.769,7.54
219-1840,3 X 3 X 1/4 SQ TUBING,FSTTBE,FT,PC,-48,11.15,19.5125,11.15,2.25,0,0,0
219-1841,"3"" X 3"" X 1/4"" SQUARE STEEL TUBING",FSTTBE,FT,PC,141,7,19.5125,7,4.44,0,7,9.3362
219-1890,4 X 4 X 1/4 SQ TUBING,FSTTBE,FT,PC,-24,7.1,18.375,7.1,7.0098,0,7.1,7.92
219-1891,4 X 4 X 1/4 SQUARE TUBE,FSTTBE,FT,PC,20,9.42,23.975,9.42,7.0098,0,9.42,10.2385
219-1900,4 X 4 X 3/8 SQ STEEL TUBING,FSTTBE,FT,PC,-6,17.03,29.8025,17.03,8.83,0,21.2875,8.83
219-1950,"5"" X 5"" X .250"" SQUARE TUBE 20 FT",FSTTBE,FT,PC,-4,8.79,15.3825,8.79,9.261,0,10.548,8.25
219-1952,5 X 5 X 1/4 SQUARE TUBE,FSTTBE,FT,PC,101,14.60472,42.3675,14.6047,9.26,0,14.6047,23.8502
219-1990,6 X 6 X 1/4 SQ TUBING,FSTTBE,LF,LF,9,18.65,50.925,18.65,10.5153,0,18.65,29.1
219-2102,"8"" X 8"" 1/4"" SQUARE STEEL TUBE",FSTTBE,FT,LF,402,22.24607,44.43751,22.2461,14.6,0,22.2461,22.3962
219-2110,8 X 8 X 3/8 SQ TUBING,FSTTBE,FT,PC,40,33.92,71.05,33.92,22.25,0,28.15,30.8158
219-2111,8 X 8 X 3/8 SQ TUBING,FSTTBE,FT,PC,15,43.35,75.8625,43.35,22.25,0,43.35,50.25
219-2190,10X10X3/8 SQ TUBING,FSTTBE,FT,PC,-40,44.7865,129.9375,44.7865,30,0,44.7865,46
219-2191,10X10X3/8 SQ TUBING,FSTTBE,FT,PC,78,45.7685,128.2575,45.7685,30,0,39.45,73.29
220-0101,S-4367 36x6x6 box,FSHIP,EA,BND,115,1.84,3.22,1.84,0,0,1.9643,1.4749
220-0102,S-11258 36 x 12 x 12 cardboard box,FSHIP,EA,BND,18,4.46,7.805,4.46,0,0,4.9667,4.46
220-0103,"S-4672, 36 x 10 x 10 cardboard box",FSHIP,EA,BND,218,2.5065,4.38638,2.5065,0,0,2.1432,3.0436
220-0220,147 X 9-1/2 X 38-1/2 BOX,FSHIP,EA,EA,-1,33.32,41.65,33.32,33.32,0,0,0
220-0240,"1/4"" x 6"" Micro Foam Rolls",FSHIP,FT,FT,-1812,0.074,1.176,0.074,0.0229,0,0.0933,0.074
220-0315,7 mm shrink wrap,FSHIP,SF,SF,-745,0.17,0.2975,0.17,0,0,0.1173,375.41
221-0191,CAT SCALE SPEAKER SIGN DOOR GUARD,MFGSGN,EA,,12,9.4904,11.863,9.4904,0,0,27.1507,0
221-0192,CAT SCALE SPEAKER SIGN PANEL,MFGSGN,EA,,11,13.884,17.355,13.884,0,0,16.396,0
301-0185,ADVANCE ISB 104014E,BALLST,EA,EA,5,68.29,136.58,68.29,0,0,68.29,68.29
301-0220,175W METAL HALIDE MT BALLAST,BALLST,EA,EA,1,76.37,152.74,76.37,36.39,0,76.37,51.8313
301-0227,LU150 HPS SODIUM MT BALLAST,BALLST,EA,EA,1,40.99,81.98,40.99,0,0,40.99,40.99
301-0245,400W MH M59 MULTI TAP BALLAST,BALLST,EA,EA,2,72.78,190.54,72.78,0,0,72.78,65.6847
301-0280,250W MULTI TAP BALLAST,BALLST,EA,EA,1,49.61,92.52,49.61,49.61,0,48.448,49.61
301-0290,320 PULSE START BALLAST,BALLST,EA,EA,1,123.86,247.72,123.86,47.99,0,123.86,47.99
301-0320,MH100 MT BALLAST BS/MH0100MT,BALLST,EA,EA,1,55.16,110.32,55.16,0,0,43.04,27.58
301-0330,MH1000W MULTI TAP BALLAST,BALLST,EA,EA,2,126.79,253.58,126.79,70.51,0,126.79,70.51
301-1300,ESB-848-46 Universal Electronic Ballast,BALLST,EA,EA,1,83.54,167.08,83.54,0,0,83.54,56.2508
301-1302,KTSB-E-0416-12 Keystone Electronic Ballast,BALLST,EA,EA,5,41.58,83.16,41.58,0,0,41.54,41.58
301-1303,KTSB-E-1232-24 Keystone Electronic Ballast,BALLST,EA,EA,6,72.36,144.72,72.36,0,0,72.36,69.1388
301-1304,KTSB-E-2048-46 Keystone Electronic Ballast,BALLST,EA,EA,4,94.21,188.42,94.21,0,0,94.21,94.1946
302-0100,BX ARMOR CABLE #12/3,ELECT,FT,FT,85,0.54843,0.95975,0.5484,0.7965,0,105.93,21.1973
302-0140,HIGH VOLTAGE CABLE GTO,ELECT,FT,BX,320,1.05588,1.84779,1.0559,0.2132,0,1.0559,0.7292
302-0180,BX CLAMP/ARMOR CABLE,ELECT,EA,EA,128,0.32719,0.57258,0.3272,0.1238,0,0.4351,0.3136
302-0186,"3/4"" Cable Clamp",ELECT,EA,EA,702,0.50482,0.88344,0.5048,0,0,0.5048,0.4815
302-0187,Heyco Wavelock clip,ELECT,EA,BG,1151,0.40907,0.71587,0.4091,0,0,0.4091,0.387
302-0231,HEYCO 1029 mounting bracket,ELECT,EA,EA,950,0.2979,0.52133,0.2979,0,0,0.2979,0.2727
302-0445,"3/8"" ALUMINUM GREENFIELD CONDUIT",ELECT,FT,FT,40,0.36556,0.63973,0.3656,0,0,0.4004,0.4004
302-0450,"3/4"" ALUMINUM GREENFIELD CONDUIT",ELECT,FT,BND,90,0.8268,1.4469,0.8268,0.3359,0,0.8268,0.6078
302-0460,"1/2"" ALUMINUM GREENFIELD CONDUIT 100 FT BUNDLE",ELECT,FT,BND,92,1.007,1.76225,1.007,0.3362,0,1.0071,0.6022
302-0570,"1/2"" LIQUITITE CONDUIT",ELECT,FT,FT,-78,1.10556,1.93473,1.1056,0.5972,0,2.5252,24.0258
302-0580,"1/2"" LIQUITITE CONDUIT 100 FT BUNDLE",ELECT,FT,BND,67,1.44835,2.53461,1.4484,0.5972,0,2.4289,2.4289
302-0621,"3/4"" Heyco 8452 black conduit",ELECT,FT,BND,-140,1.54588,2.70529,1.5459,0,0,1.6839,1.5459
302-1150,3M STD CABLE TIES/NYLON,ELECT,EA,EA,300,0.2598,0.27,0.2598,0.2598,0,0.375,0.2575
303-0145,2x4 bell box cover 5173-0 sg wp,ELECT,EA,EA,40,0.78155,1.36771,0.7816,0,0,1.2913,0.7817
303-0150,RACO 5320-0 1G WP BX W/3-1/2 HUBS,ELECT,EA,EA,68,8.59275,15.03731,8.5928,0.9258,0,8.5928,8.5777
303-0151,RACO 5330-0 WP BX W/ 3/4 HUBS,ELECT,EA,EA,8,4.5656,7.9898,4.5656,0,0,5.492,3.97
303-0180,RACO 5128-0 SP 20A 277VAC SW&WP CVR,ELECT,EA,EA,61,42.3055,74.03463,42.3055,3.614,0,42.3055,42.3003
303-0210,RACO 660 1-7/8D HANDY BOX 1/2 KO,ELECT,EA,EA,41,3.4234,5.99095,3.4234,0.9752,0,3.4234,1.6415
303-0211,"RACO 666 1 7/8"" deep handy box 3/4"" knockout",ELECT,EA,EA,47,10.6625,18.65938,10.6625,0,0,10.6625,10.3333
303-0240,RACO 860 BLANK HANDY BOX COVER,ELECT,EA,EA,96,1.0503,1.83803,1.0503,0.2926,0,1.0503,0.5945
303-0260,"6"" X 6"" WEATHERPROOF HOFFMAN BOX",ELECT,EA,EA,84,15.68,27.44,15.68,15.68,0,0,0
303-0298,"3/8"" Heyco Bushing",ELECT,EA,EA,1309,0.06,0.105,0.06,0,0,0.06,0.06
303-0300,"1/2"" PLASTIC BUSHING",ELECT,EA,EA,257,0.271,0.47425,0.271,0.12,0,0.1504,0.271
303-0303,"5/8"" Heyco Bushing",ELECT,EA,EA,637,0.1493,0.26128,0.1493,0.08,0,0.1499,0.0556
303-0310,"3/4"" PLASTIC BUSHING",ELECT,EA,EA,74,0.16406,0.28711,0.1641,0.143,0,0.1641,0.1641
303-0313,"7/8"" Heyco Bushing",ELECT,EA,EA,2385,0.2016,0.3528,0.2016,0.1,0,0.2129,0.2016
303-0581,#10 eyelet - 60042 Ring Tongue,ELECT,EA,EA,1006,0.54706,0.95736,0.5471,0.0935,0,0.5471,0.5298
303-0610,"1/2"" GREENFIELD CONNECTOR BRDGPORT 520-DC2",ELECT,EA,EA,430,0.72652,1.27141,0.7265,0.4316,0,0.7265,0.5475
303-0611,"3/4"" GREENFIELD CONNECTOR BRDGPORT 521-DC2",ELECT,EA,EA,13,1.10415,1.93226,1.1042,0,0,2.279,2.28
303-0612,HEYCO 8495 Snap In Connector,ELECT,EA,BX,148,0.69411,1.21469,0.6941,0,0,0.6941,0.3962
303-0630,PPKHVC HIGH VOLTAGE CONNECTOR,ELECT,EA,EA,-1,4.58,9.52,4.58,4.58,0,0,0
303-0650,"1/2"" LIQUITITE SEALTITE MALE CONNECTOR - STRAIGHT - RACO #3402",ELECT,EA,EA,78,2.92483,5.11845,2.9248,1.86,0,3.6386,2.9358
303-1030,"1/2"" 90-DEG. GREENFIELD CONNECTOR BRDGPORT 804-DC2",ELECT,EA,BX,140,1.715,3.00125,1.715,1.036,0,1.715,1.5027
303-1130,"1/2"" 90-DEG. SEALTIGHT ELBOW",ELECT,EA,EA,97,3.1752,5.5566,3.1752,2.4724,0,5.282,3.1752
303-1220,"1/2"" LOCK NUT",ELECT,EA,EA,335,0.29235,0.51161,0.2924,0.092,0,0.2925,0.2725
303-1240,"1"" LOCK NUT",ELECT,EA,EA,349,0.703,1.23025,0.703,0.21,0,0.703,0.6821
303-1260,"1-1/2"" LOCK NUT",ELECT,EA,EA,130,1.26245,2.20929,1.2625,0.27,0,1.2611,1.1357
303-1280,"1/2"" CHASE NIPPLE",ELECT,EA,EA,380,0.9215,1.61263,0.9215,0.3839,0,0.9215,0.8301
303-1330,"1"" CHASE NIPPLE",ELECT,EA,EA,95,3.29045,5.75829,3.2905,0.5433,0,3.2905,2.5017
303-1355,"1 1/2"" CHASE NIPPLE 1106-DC",ELECT,EA,EA,175,9.5386,16.69255,9.5386,0,0,9.0891,8.4352
303-1435,Paige Wall Busters,ELECT,EA,EA,272,4.55,10.36,4.55,0,0,4.55,4.8553
303-1510,"1/2"" BLUNDER PLUG",ELECT,EA,EA,73,0.28293,0.49513,0.2829,0.2059,0,0.3151,0.2794
306-0880,F18T12CW/HO LAMP,LAMPS,EA,EA,5,9.51,15.88,9.51,4.2777,0,9.51,4.27
306-0891,F18T12 DSN design lamp,LAMPS,EA,EA,3,8.17,17.97,8.17,8.17,0,0,0
306-0920,F24T12CW/HO LAMP,LAMPS,EA,EA,41,6.47,13.05,6.47,2.59,0,6.47,3.6747
306-0930,F24T12D/HO LAMP,LAMPS,EA,EA,6,2.4,15.27,2.4,2.4,0,2.67,1.0489
