Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
202-0820,"SMALL ""A"" FLEX COVER ABC- 26'",FALEXT,FT,PC,40,1.72,3.01,1.72,1.63,0,4.2792,1.6894
202-0830,"SMALL ""A"" FLEX FRAME ABC- 26'",FALEXT,FT,PC,26,7.06,12.355,7.06,6.7,0,12.0492,6.974
202-0860,"SMALL ""A"" SPREADER BARS",FALEXT,EA,EA,-40,0.22,0.39,0.22,0.22,0,0,0
202-0861,Post & Panel Retainer,FALEXT,EA,PC,11,0.48,0.84,0.48,0,0,0.53,0.48
202-0864,"3 1/4"" half round post - 25' pieces",FALEXT,LF,PC,52,4.49,7.8575,4.49,0,0,4.84,3.37
202-0865,"5"" Half Round Post ABC part #1004-RDP",FALEXT,LF,LF,6,6.47,11.3225,6.47,0,0,6.7308,5.83
202-0866,"1"" Reveal - Post & Panel ABC part #1040-R1",FALEXT,LF,LF,42,2.25,3.9375,2.25,0,0,2.4039,1.7741
202-0867,Post & Panel Mono Frame - 25' pieces,FALEXT,LF,PC,67,3.61,6.3175,3.61,0,0,3.9,3.61
202-0868,Post & Panel end frame - 25' pieces,FALEXT,LF,PC,20,2.61,4.5675,2.61,0,0,2.82,2.61
202-0920,LARGE BLEED TRIM ABC- 26',FALEXT,FT,PC,26,0.98,1.89,0.98,0.68,0,0.98,0.98
202-0941,"1 3/8"" H-style Divider Bar",FALEXT,FT,PC,206,3.01,5.2675,3.01,0,0,2.5151,2.901
202-1110,AWNING TRIM CAP - MILLIKEN 350' per box,FAWN,FT,FT,1914,0.6772,1.421,0.6772,0.2011,0,0.7789,0.449
202-1120,"1"" X 1"" STANDARD WALL W/DBL 1"" FLANGES - 24'",FAWN,FT,PC,58,1.0498,1.3,1.0498,1.0498,0,1.546,1.0498
202-1130,MI-6 AWNING Z CLIPS,FAWN,EA,EA,200,0.95,1.6625,0.95,0.8693,0,0.8927,0.9489
202-1140,"MP1A 1"" X 1"" STD WALL STAPLE-IN - 24'",FAWN,FT,PC,220,1.1586,2.02755,1.1586,1.1679,0,1.1604,1.1586
202-1160,"MP2B 1"" X 1"" STD. WALL/1FLNG STPLN",FAWN,FT,PC,283,1.236,1.51,1.236,1.236,0,1.4583,1.236
202-1170,GALVANIZED STAPLES,FAWN,EA,BX,8300,0.00451,0.02,0.0045,0.003,0,0.0025,0.0045
